lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm,sp_to_bz,smsm_mul,bz_to_sp,total_latency
99035,1713,8476,0.00370564,0.01,628689,145215,169646955,14519388,839420660,1.44E+12,3.71E-05,31105.9078,53284420,15490,3000,39826,383,2187,2328,4898
109458,88928,14145,2.48E-05,0.01,241692,12579474,9733881024,1257886560,1548283410,1.38E+14,2.48E-07,384.438771,34187371,39850,3036,57506,377,2811,3436,6624
24395,21128,26253,0.00370564,0.001,1910044,554711,515417560,554673384,640441935,1.35E+13,3.71E-06,2373.24725,25070984,65146,3025,269261,367,2592,8479,11438
122009,43256,15992,0.00056263,0.001,2969398,691785,5277621304,691749952,1951167928,8.44E+13,5.63E-07,1097.78561,47485814.4,137736,3010,353844,364,3216,8129,11709
126312,55099,4379,0.00160539,0.001,11173063,241321,6959664888,241278521,553120248,3.05E+13,1.61E-06,887.973715,1.13E+10,162057,3093,355418,388,3025,7472,10885
51310,66327,13468,8.43E-05,0.07,286863,62532293,3403238370,893292036,691043080,4.58E+13,5.90E-06,4077.36149,270439155,39139,33783,60193,391,19191,31447,51029
64623,42758,32036,0.00047003,0.01,1298773,13698348,2763150234,1369795288,2070262428,8.85E+13,4.70E-06,9730.85449,1248215629,87174,33847,261976,497,31346,135561,167404
52997,59347,18456,0.00163948,0.005,5156583,5476661,3145212959,1095308232,978112632,5.80E+13,8.20E-06,8017.98049,475843088,157879,34037,512186,374,35831,118600,154805
126922,57792,10927,0.00108175,0.005,7934737,3157595,7335076224,631493184,1386876694,8.02E+13,5.41E-06,7501.26932,433513357,285741,35739,633867,374,28115,122593,151082
18541,84938,8146,0.02533638,0.01,39902020,6919739,1574835458,691904948,151034986,1.28E+13,0.00025336,38266.798,3250305287,442788,34302,1689405,380,33224,122800,156404
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
