lr,lc,rc,ld,rd,lnnz,rnnz
23958,30459,9786,0.00160539 ,0.00050000 ,1171533,149043
93573,25256,1200,0.00018467 ,0.30000000 ,436441,9094265
97366,33288,5958,0.00056263 ,0.13000000 ,1823595,25785518
111378,72781,427,0.00031941 ,0.10000000 ,2589238,3112395
59952,21759,2384,0.00041097 ,0.00100000 ,536122,51888
37277,6335,8305,0.00015297 ,0.20000000 ,36129,10524778
122335,65522,2027,0.00041097 ,0.25000000 ,3294205,33216643
85283,55401,5954,0.00001651 ,0.13000000 ,78006,42884765
88648,49392,11945,0.00296184 ,0.00500000 ,12968430,2949991
70008,34309,14445,0.00056263 ,0.00100000 ,1351438,495625
78717,99615,6291,0.00015297 ,0.05000000 ,1199504,31338809
39049,43377,14025,0.00031941 ,0.03000000 ,541033,18252082
106348,17623,17965,0.00491597 ,0.13000000 ,9213441,41159621
58019,54547,17077,0.00108175 ,0.07000000 ,3423537,65207439
10758,50741,4283,0.00002483 ,0.00050000 ,13554,108676
126899,52210,12948,0.00182521 ,0.07000000 ,12092788,47322584
133764,1840,9040,0.00078778 ,0.15000000 ,193897,2495264
132278,48224,8077,0.00047003 ,0.15000000 ,2998367,58429137
17639,14561,16707,0.00160539 ,0.13000000 ,412379,31628398
131403,43733,7722,0.00008429 ,0.10000000 ,484397,33774444
15728,31500,45522,0.00860544 ,0.03000000 ,4263462,43019639
87003,95285,15346,0.00182521 ,0.00050000 ,15131430,731149
122724,61616,2796,0.00031941 ,0.30000000 ,2415325,51698106
74841,20268,16085,0.00047003 ,0.00500000 ,713008,1630128
134987,39791,9266,0.00018467 ,0.13000000 ,991923,47932957
10566,5335,13442,0.00013363 ,0.30000000 ,7534,21517895
71329,11594,216,0.00082185 ,0.15000000 ,679696,375814
62177,74537,22036,0.00082487 ,0.00100000 ,3822919,1642560
108666,10740,19512,0.00078778 ,0.17000000 ,919427,35627383
32231,80720,577,0.00160539 ,0.30000000 ,4176859,13985604
68306,38201,16043,0.00082282 ,0.03000000 ,2147067,18386741
1609,92929,20795,0.00860544 ,0.00050000 ,1287247,966261
11006,60966,19826,0.00013363 ,0.03000000 ,89670,36262371
91522,11923,20111,0.01084252 ,0.00050000 ,11831944,119900
49714,63275,30456,0.00000464 ,0.00100000 ,14595,1927119
71595,49258,560,0.00082185 ,0.13000000 ,2898403,3589833
1984,4188,24646,0.00018467 ,0.27000000 ,1535,27870926
127563,20198,2442,0.00018467 ,0.00050000 ,475808,24668
44293,66924,333,0.00031941 ,0.20000000 ,946823,4463286
22540,17971,26056,0.00041097 ,0.00500000 ,166477,2341351
73287,5810,17923,0.00015297 ,0.30000000 ,65139,31243081
80348,24008,14712,0.00002483 ,0.13000000 ,47897,45919803
83116,9119,5696,0.00015297 ,0.20000000 ,115948,10389143
29735,25167,22174,0.00082282 ,0.10000000 ,615772,55808823
2509,8267,27929,0.00082185 ,0.00050000 ,17048,115445
28028,50464,6709,0.00047003 ,0.00100000 ,664830,338574
105970,16771,5723,0.01084252 ,0.20000000 ,19270355,19197223
53708,99995,1909,0.00018467 ,0.13000000 ,991788,24821230
61905,48731,4252,0.00047003 ,0.00500000 ,1417981,1036045
87267,52848,3087,0.00002088 ,0.00100000 ,96297,163188
9330,12165,12704,0.00860544 ,0.13000000 ,976794,20092750
49255,32636,13889,0.00491597 ,0.03000000 ,7902553,13599335
42258,16391,1112,0.00182521 ,0.01000000 ,1264237,182419
8481,44708,6048,0.00078778 ,0.23000000 ,298728,62197325
35773,24749,7821,0.00047003 ,0.17000000 ,416149,32907979
66341,87385,9302,0.00001651 ,0.07000000 ,95713,56904020
66173,57686,8764,0.00952101 ,0.13000000 ,36344782,65725864
7297,11850,43501,0.00160539 ,0.03000000 ,138831,15465088
5061,15877,14085,0.00013363 ,0.15000000 ,10739,33546064
109258,67641,5832,0.00013363 ,0.13000000 ,987586,51286831
17199,84760,1995,0.00296184 ,0.03000000 ,4317875,5074350
9314,7419,13478,0.00163948 ,0.20000000 ,113298,20000240
103198,28821,2863,0.00296184 ,0.00100000 ,8809386,82530
43659,47194,33980,0.00002088 ,0.03000000 ,43023,48110586
14569,13356,16170,0.02533638 ,0.23000000 ,4930456,49677774
34130,54768,3405,0.00370564 ,0.00500000 ,6926936,932440
82597,83646,2519,0.00013363 ,0.03000000 ,923240,6321702
19758,28427,18679,0.00078778 ,0.00100000 ,442480,531023
81348,588,14173,0.00491597 ,0.01000000 ,235532,83476
69420,40962,10465,0.00952101 ,0.13000000 ,27074371,55732444
47177,78811,6596,0.00019487 ,0.00050000 ,724542,259940
106859,15350,569,0.00041097 ,0.05000000 ,674136,437283
46367,11048,135,0.00491597 ,0.17000000 ,2518299,253986
4057,67762,26834,0.00031941 ,0.01000000 ,87815,18184051
43333,88804,1885,0.00002088 ,0.25000000 ,80349,41864390
33895,53317,26714,0.00370564 ,0.01000000 ,6696942,14243336
46756,53769,7584,0.00160539 ,0.01000000 ,4036030,4078138
98966,87945,14688,0.00370564 ,0.00050000 ,32252780,645897
124226,83003,2310,0.00370564 ,0.23000000 ,38209922,44118447
9619,43777,19845,0.00108175 ,0.00100000 ,455549,868786
16232,10652,12684,0.00182521 ,0.05000000 ,315616,6756092
116115,98118,11052,0.00031941 ,0.05000000 ,3639059,54223806
66177,6349,17332,0.00952101 ,0.10000000 ,4000474,11004602
64050,5188,31464,0.00013363 ,0.13000000 ,44408,21222444
7082,51415,40783,0.00015297 ,0.00500000 ,55707,10484603
54135,41752,38273,0.00041097 ,0.00100000 ,928910,1598008
110661,20042,1144,0.00031941 ,0.23000000 ,708415,5275053
32780,23130,17094,0.00000434 ,0.15000000 ,3290,59309957
125416,14326,3,0.01084252 ,0.10000000 ,19481042,4681
106078,18553,6299,0.00018467 ,0.17000000 ,363448,19870443
95437,99103,2109,0.00296184 ,0.25000000 ,28013575,52252550
39597,80778,1805,0.00001651 ,0.20000000 ,52809,29176245
84667,17519,6750,0.00160539 ,0.20000000 ,2381336,23654003
82848,70924,10716,0.00002483 ,0.00500000 ,145901,3800364
31526,11513,45258,0.00182521 ,0.07000000 ,662517,36475921
78312,23565,7906,0.00015297 ,0.30000000 ,282301,55892512
25202,25620,6199,0.00082282 ,0.00050000 ,531287,79412
34422,86478,23247,0.00163948 ,0.00050000 ,4880418,1005186
14144,5309,15737,0.00000434 ,0.27000000 ,325,22561902
44358,16271,11685,0.00082487 ,0.00500000 ,595392,950746
76873,97636,16492,0.00370564 ,0.03000000 ,27813025,48309209
70658,18099,4270,0.00002088 ,0.00100000 ,26703,77287
32360,2665,45187,0.00031941 ,0.07000000 ,27555,8432644
147394,27458,5779,0.00041097 ,0.20000000 ,1663311,31738071
10221,419,21333,0.00082282 ,0.01000000 ,3526,89447
56692,88821,2138,0.00860544 ,0.20000000 ,43333045,37984798
70273,19995,29949,0.00056263 ,0.00500000 ,790577,2994283
17525,66539,8771,0.00031941 ,0.03000000 ,372484,17509862
1009,17035,19372,0.00296184 ,0.17000000 ,50953,56103796
60971,35514,27626,0.00000464 ,0.01000000 ,10047,9811375
6600,8834,39569,0.00015297 ,0.13000000 ,8920,45445522
130616,24944,4186,0.00002088 ,0.10000000 ,68030,10442452
92509,84398,3068,0.00370564 ,0.13000000 ,28932221,33670638
52822,18225,38829,0.00000464 ,0.00500000 ,4467,3538562
139925,7761,5943,0.00182521 ,0.20000000 ,1982194,9226373
99742,15952,1883,0.01084252 ,0.20000000 ,17252080,6010094
8213,29864,12338,0.00860544 ,0.10000000 ,2110867,36848979
148295,70586,10233,0.00008429 ,0.07000000 ,882313,50562229
106369,78741,8068,0.00001651 ,0.01000000 ,138282,6353193
34773,1693,11903,0.00056263 ,0.00100000 ,33132,20159
102483,8370,9648,0.00000464 ,0.00050000 ,3980,40382
79098,33153,27005,0.00296184 ,0.03000000 ,7767106,26859588
29129,30290,17065,0.00182521 ,0.07000000 ,1610458,36185243
143150,93278,87,0.00034241 ,0.00050000 ,4572144,4072
2642,15576,26398,0.00008429 ,0.15000000 ,3469,61676811
88999,13706,10833,0.01084252 ,0.00050000 ,13226192,74244
145855,29838,5432,0.00034241 ,0.27000000 ,1490188,43763326
119691,59648,8692,0.00000464 ,0.00050000 ,33126,259236
5045,25567,931,0.00860544 ,0.10000000 ,1110180,2381508
96800,66343,67,0.00491597 ,0.25000000 ,31570600,1117164
43568,87023,12162,0.00370564 ,0.00500000 ,14049825,5292307
141319,77728,4482,0.00296184 ,0.05000000 ,32534593,17419100
89197,17394,20382,0.00082185 ,0.00050000 ,1275105,177266
144418,7770,9316,0.00056263 ,0.30000000 ,631369,21718658
33410,61523,6558,0.00491597 ,0.00100000 ,10104867,403493
4614,77191,1977,0.01084252 ,0.17000000 ,3862101,25955135
149498,24663,3553,0.00056263 ,0.15000000 ,2074507,13144557
137841,16598,5004,0.00182521 ,0.23000000 ,4176065,19105917
4425,2806,3070,0.02533638 ,0.15000000 ,314627,1292552
87906,15292,10524,0.00860544 ,0.15000000 ,11568360,24140834
105169,78939,2704,0.00002088 ,0.23000000 ,173346,49111665
32496,6653,19458,0.00031941 ,0.27000000 ,69056,34953644
115721,77929,1260,0.00019487 ,0.15000000 ,1757358,14735341
89836,36122,107,0.00015297 ,0.01000000 ,496399,38889
46787,1840,40047,0.00182521 ,0.25000000 ,157185,18428395
145403,12494,13366,0.00952101 ,0.05000000 ,17296615,8350087
54821,11573,4809,0.00860544 ,0.15000000 ,5459856,8349149
28436,5810,37630,0.00952101 ,0.13000000 ,1573159,28424557
94130,40069,19510,0.00018467 ,0.07000000 ,696528,54724088
46606,75002,22719,0.00047003 ,0.00100000 ,1643041,1704005
44963,93459,20068,0.01084252 ,0.00500000 ,45563041,9377768
99321,47329,4093,0.00163948 ,0.17000000 ,7707002,32939353
20142,43299,10915,0.00108175 ,0.00100000 ,943484,472638
22290,3628,41455,0.00056263 ,0.27000000 ,45499,40608411
37323,42190,40215,0.00860544 ,0.03000000 ,13550901,50900603
70266,23925,8549,0.00182521 ,0.23000000 ,3068395,47046079
108176,10277,16847,0.02533638 ,0.01000000 ,28169438,1731551
18623,36187,9617,0.00370564 ,0.15000000 ,2497381,52205458
45554,44248,4608,0.00370564 ,0.23000000 ,7469617,46903538
57621,24396,20707,0.00002088 ,0.03000000 ,29351,15155164
63185,35864,30908,0.00034241 ,0.05000000 ,775950,55426907
39684,35674,39856,0.02533638 ,0.00050000 ,35870059,710931
145742,7273,5457,0.00041097 ,0.15000000 ,435646,5954690
104935,30190,2283,0.00160539 ,0.20000000 ,5085929,13788125
62516,9071,33530,0.00031941 ,0.00500000 ,181142,1520859
104687,62677,694,0.00031941 ,0.15000000 ,2095829,6529094
48661,61929,2487,0.00047003 ,0.10000000 ,1416474,15405282
104636,18989,7540,0.00034241 ,0.15000000 ,680376,21477432
15239,2305,16071,0.00952101 ,0.23000000 ,334514,8522074
38625,18083,33855,0.00182521 ,0.03000000 ,1274885,18366819
2674,8224,46590,0.00000464 ,0.00500000 ,102,1915940
99120,5167,1758,0.00182521 ,0.15000000 ,934917,1362866
2006,23895,5687,0.00000434 ,0.23000000 ,208,31258000
127421,28581,11899,0.00082185 ,0.20000000 ,2993060,68021844
5977,61918,23382,0.00860544 ,0.03000000 ,3185260,43435153
28622,6023,25782,0.00056263 ,0.17000000 ,97005,26401930
42031,2756,44667,0.00001651 ,0.00500000 ,1912,615653
35424,35266,7029,0.00018467 ,0.03000000 ,230702,7437151
13856,26984,16641,0.00491597 ,0.00500000 ,1838207,2245358
73949,38630,8852,0.00047003 ,0.15000000 ,1342750,51297811
124497,22197,8624,0.01084252 ,0.15000000 ,29963611,28716034
11974,96365,2108,0.00082185 ,0.10000000 ,948369,20321664
57272,32313,4744,0.00082487 ,0.00100000 ,1526582,153298
113741,52296,7952,0.00000464 ,0.13000000 ,27600,54062954
62475,50142,11853,0.00108175 ,0.05000000 ,3388772,29718924
86495,75793,20085,0.00182521 ,0.00050000 ,11965655,761169
67778,67468,17886,0.01084252 ,0.03000000 ,49582161,36203817
