lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
97366,33288,5958,0.00056263,0.13,1823595,25785518,3241119408,198329904,580106628,19310589432864,7.31419e-05,42430.1009745132,1412413201.2395957,32623,76241,73181
37277,6335,8305,0.00015297,0.2,36129,10524778,236149795,52612175,309585485,1961224047475,3.0594e-05,9471.45832809,60001688.50845015,5402,4022,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,8015633870,132813094,247973045,16247689854490,0.0001027425,25477.370575912497,1669328274.8749387,31856,50312,47826
85283,55401,5954,1.651e-05,0.13,78006,42884765,4724763483,329857554,507774982,28131241777782,2.1463e-06,1089.8374438666,60378084.22765351,22248,5405,10935
88648,49392,11945,0.00296184,0.005,12968430,2949991,4378502016,589987440,1058900360,52301206581120,1.48092e-05,15681.467211312,774539028.5011224,339996,53227,908915
78717,99615,6291,0.00015297,0.05,1199504,31338809,7841393955,626677965,495208647,49330209370905,7.6485e-06,3787.6033365794997,377302106.3733669,20561,33460,67547
39049,43377,14025,0.00031941,0.03,541033,18252082,1693828473,608362425,547662225,23755944333825,9.5823e-06,5247.8637386175,227636585.3900113,25706,20547,56943
106348,17623,17965,0.00491597,0.13,9213441,41159621,1874170804,316597195,1910541820,33669478493860,0.0006390761000000001,1220981.6152125022,21517359004.889927,450878,412629,1040685
58019,54547,17077,0.00108175,0.07,3423537,65207439,3164762393,931499119,990790463,54044647385261,7.572250000000001e-05,75025.1308345175,4092395811.6304264,117021,167477,346210
126899,52210,12948,0.00182521,0.07,12092788,47322584,6625396790,676015080,1643088252,85785637636920,0.00012776470000000001,209928.67759030443,10960376256.989794,538814,309445,1095508
133764,1840,9040,0.00078778,0.15,193897,2495264,246125760,16633600,1209226560,2224976870400,0.000118167,142890.67491552,262918841.84455678,12577,18996,22902
132278,48224,8077,0.00047003,0.15,2998367,58429137,6378974272,389505248,1068409406,51522975194944,7.05045e-05,75327.67096532701,3632601604.631929,91196,174315,179515
17639,14561,16707,0.00160539,0.13,412379,31628398,256841479,243270627,294694773,4291050589653,0.0002087007,61503.0054114411,895545261.7959939,23214,36391,40532
131403,43733,7722,8.429e-05,0.1,484397,33774444,5746647399,337706226,1014693966,44375611215078,8.429e-06,8552.855439414,374042026.93189245,29621,34386,51936
15728,31500,45522,0.00860544,0.03,4263462,43019639,495432000,1433943000,715970016,22553055504000,0.0002581632,184837.1104346112,5822368978.690252,247887,116536,1004111
87003,95285,15346,0.00182521,0.0005,15131430,731149,8290080855,1462243610,1335148038,127219580800830,9.126050000000001e-07,1218.46277521899,116101225.53674147,518363,7771,1384577
122724,61616,2796,0.00031941,0.3,2415325,51698106,7561761984,172278336,343136304,21142686507264,9.5823e-05,32880.350058192,2025955649.1855583,37265,65907,50682
74841,20268,16085,0.00047003,0.005,713008,1630128,1516877388,326010780,1203817485,24398972785980,2.3501500000000003e-06,2829.1516623727503,57341245.8929709,28133,3420,78066
134987,39791,9266,0.00018467,0.13,991923,47932957,5371267717,368703406,1250789542,49770166665722,2.4007100000000003e-05,30027.829613748203,1194837368.1606548,43903,101564,94968
62177,74537,22036,0.00082487,0.001,3822919,1642560,4634487049,1642497332,1370132372,102125556611764,8.248700000000001e-07,1130.1810896916402,84240307.88234577,142660,7235,477252
108666,10740,19512,0.00078778,0.17,919427,35627383,1167072840,209558880,2120290992,22771925254080,0.0001339226,283954.88240521925,3049675437.0320544,58888,188507,134550
32231,80720,577,0.00160539,0.3,4176859,13985604,2601686320,46575440,18597287,1501173006640,0.00048161699999999994,8956.769573078998,722990439.9389368,3975,6960,13110
68306,38201,16043,0.00082282,0.03,2147067,18386741,2609357506,612858643,1095833158,41861922468758,2.46846e-05,27050.203171966798,1033344811.3723038,65256,71795,203576
11006,60966,19826,0.00013363,0.03,89670,36262371,670991796,1208711916,218204956,13303083347496,4.0089e-06,874.7618481083999,53330730.831776716,16860,4244,25102
91522,11923,20111,0.01084252,0.0005,11831944,119900,1091216806,239783453,1840598942,21945461185466,5.42126e-06,9978.36542030692,118972050.9063194,537932,7852,1375666
71595,49258,560,0.00082185,0.13,2898403,3589833,3526626510,27584480,40093200,1974910845600,0.0001068405,4283.577534599999,211000462.19932678,3019,6040,9778
73287,5810,17923,0.00015297,0.3,65139,31243081,425797470,104132630,1313522901,7631568054810,4.5891e-05,60278.879449791,350220289.60328573,23323,27410,26727
80348,24008,14712,2.483e-05,0.13,47897,45919803,1928994784,353205696,1182079776,28379371262208,3.2279000000000005e-06,3815.6353089504,91605772.49728121,29203,7599,35508
83116,9119,5696,0.00015297,0.2,115948,10389143,757934804,51941824,473428736,4317196643584,3.0594e-05,14484.078749184,132080314.1138089,6610,12743,11635
29735,25167,22174,0.00082282,0.1,615772,55808823,748340745,558053058,659343890,16593707679630,8.228200000000001e-05,54252.13395698001,1365363455.2953157,24557,84354,83378
105970,16771,5723,0.01084252,0.2,19270355,19197223,1777222870,95980433,606466310,10171046485010,0.002168504,1315124.61910024,22055954986.930126,289737,206628,669562
53708,99995,1909,0.00018467,0.13,991788,24821230,5370531460,190890455,102528572,10252344557140,2.4007100000000003e-05,2461.4136808612,246129061.01771572,5212,11047,14326
9330,12165,12704,0.00860544,0.13,976794,20092750,113499450,154544160,118528320,1441897012800,0.0011187072,132598.48498790403,1613060569.8778524,14372,20215,66162
49255,32636,13889,0.00491597,0.03,7902553,13599335,1607486180,453281404,684102695,22326375554020,0.0001474791,100890.8497661745,3292673772.968871,178259,93289,577927
8481,44708,6048,0.00078778,0.23,298728,62197325,379168548,270393984,51293088,2293211378304,0.0001811894,9293.7638388672,415505593.7080748,5911,8077,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,885345977,193561929,279780633,6924290886117,7.990510000000001e-05,22355.899457928303,553286155.6842676,16704,33173,21563
66341,87385,9302,1.651e-05,0.07,95713,56904020,5797208285,812855270,617103982,53925631467070,1.1557e-06,713.1870719974,62321852.2864928,33930,6221,40835
66173,57686,8764,0.00952101,0.13,36344782,65725864,3817255678,505560104,579940172,33454428761992,0.0012377313,717810.1030117837,41407593602.337746,494480,375822,1661037
7297,11850,43501,0.00160539,0.03,138831,15465088,86469450,515486850,317426797,3761507544450,4.81617e-05,15287.814169074898,181160597.90353754,15784,17138,23733
109258,67641,5832,0.00013363,0.13,987586,51286831,7390320378,394482312,637192656,43100348444496,1.7371900000000002e-05,11069.247100766403,748734943.14294,36256,59694,49397
17199,84760,1995,0.00296184,0.03,4317875,5074350,1457787240,169096200,34312005,2908285543800,8.885519999999999e-05,3048.800066676,258416293.65145773,12606,5466,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,69100566,99993282,125534092,931337428548,0.00032789600000000005,41162.126630432,305381817.471175,3179,17268,9750
43659,47194,33980,2.088e-05,0.03,43023,48110586,2060442846,1603652120,1483532820,70013847907080,6.263999999999999e-07,929.2849584479999,43856674.328994915,45903,4012,58407
14569,13356,16170,0.02533638,0.23,4930456,49677774,194583564,215966520,235580730,3146416229880,0.0058273674,1372815.4660702022,18335323364.83362,121426,131364,402422
34130,54768,3405,0.00370564,0.005,6926936,932440,1869231840,186485040,116212650,6364734415200,1.85282e-05,2153.21122173,117927072.19170864,34513,6438,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,6908908662,210704274,208061843,17403540919578,4.0089e-06,834.0991224027,69769055.19249624,9988,5640,20928
69420,40962,10465,0.00952101,0.13,27074371,55732444,2843582040,428667330,726480300,29758086048600,0.0012377313,899187.40614339,36832514530.44554,477717,367858,1484124
33895,53317,26714,0.00370564,0.01,6696942,14243336,1807179715,1424310338,905471030,48276998906510,3.70564e-05,33553.496676092,1788971782.2791972,280837,92404,940945
46756,53769,7584,0.00160539,0.01,4036030,4078138,2514023364,407784096,354597504,19066353192576,1.60539e-05,5692.6728694656,306089327.5182958,50471,20217,169611
98966,87945,14688,0.00370564,0.0005,32252780,645897,8703564870,1291736160,1453612608,127837960810560,1.85282e-06,2693.2825123545604,236860730.54902178,1176893,20294,2889740
124226,83003,2310,0.00370564,0.23,38209922,44118447,10311130678,191736930,286962060,23818711866180,0.0008522972000000001,244576.96024423203,20300621431.15199,312134,224158,627928
