lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
97366,33288,5958,0.00056263,0.13,1823595,25785518,32623,76241,73181
37277,6335,8305,0.00015297,0.2,36129,10524778,5402,4022,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,31856,50312,47826
85283,55401,5954,0.00001651,0.13,78006,42884765,22248,5405,10935
88648,49392,11945,0.00296184,0.005,12968430,2949991,339996,53227,908915
78717,99615,6291,0.00015297,0.05,1199504,31338809,20561,33460,67547
39049,43377,14025,0.00031941,0.03,541033,18252082,25706,20547,56943
106348,17623,17965,0.00491597,0.13,9213441,41159621,450878,412629,1040685
58019,54547,17077,0.00108175,0.07,3423537,65207439,117021,167477,346210
126899,52210,12948,0.00182521,0.07,12092788,47322584,538814,309445,1095508
133764,1840,9040,0.00078778,0.15,193897,2495264,12577,18996,22902
132278,48224,8077,0.00047003,0.15,2998367,58429137,91196,174315,179515
17639,14561,16707,0.00160539,0.13,412379,31628398,23214,36391,40532
131403,43733,7722,0.00008429,0.1,484397,33774444,29621,34386,51936
15728,31500,45522,0.00860544,0.03,4263462,43019639,247887,116536,1004111
87003,95285,15346,0.00182521,0.0005,15131430,731149,518363,7771,1384577
122724,61616,2796,0.00031941,0.3,2415325,51698106,37265,65907,50682
74841,20268,16085,0.00047003,0.005,713008,1630128,28133,3420,78066
134987,39791,9266,0.00018467,0.13,991923,47932957,43903,101564,94968
62177,74537,22036,0.00082487,0.001,3822919,1642560,142660,7235,477252
108666,10740,19512,0.00078778,0.17,919427,35627383,58888,188507,134550
32231,80720,577,0.00160539,0.3,4176859,13985604,3975,6960,13110
68306,38201,16043,0.00082282,0.03,2147067,18386741,65256,71795,203576
11006,60966,19826,0.00013363,0.03,89670,36262371,16860,4244,25102
91522,11923,20111,0.01084252,0.0005,11831944,119900,537932,7852,1375666
71595,49258,560,0.00082185,0.13,2898403,3589833,3019,6040,9778
73287,5810,17923,0.00015297,0.3,65139,31243081,23323,27410,26727
80348,24008,14712,0.00002483,0.13,47897,45919803,29203,7599,35508
83116,9119,5696,0.00015297,0.2,115948,10389143,6610,12743,11635
29735,25167,22174,0.00082282,0.1,615772,55808823,24557,84354,83378
105970,16771,5723,0.01084252,0.2,19270355,19197223,289737,206628,669562
53708,99995,1909,0.00018467,0.13,991788,24821230,5212,11047,14326
9330,12165,12704,0.00860544,0.13,976794,20092750,14372,20215,66162
49255,32636,13889,0.00491597,0.03,7902553,13599335,178259,93289,577927
8481,44708,6048,0.00078778,0.23,298728,62197325,5911,8077,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,16704,33173,21563
66341,87385,9302,0.00001651,0.07,95713,56904020,33930,6221,40835
66173,57686,8764,0.00952101,0.13,36344782,65725864,494480,375822,1661037
7297,11850,43501,0.00160539,0.03,138831,15465088,15784,17138,23733
109258,67641,5832,0.00013363,0.13,987586,51286831,36256,59694,49397
17199,84760,1995,0.00296184,0.03,4317875,5074350,12606,5466,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,3179,17268,9750
43659,47194,33980,0.00002088,0.03,43023,48110586,45903,4012,58407
14569,13356,16170,0.02533638,0.23,4930456,49677774,121426,131364,402422
34130,54768,3405,0.00370564,0.005,6926936,932440,34513,6438,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,9988,5640,20928
69420,40962,10465,0.00952101,0.13,27074371,55732444,477717,367858,1484124
33895,53317,26714,0.00370564,0.01,6696942,14243336,280837,92404,940945
46756,53769,7584,0.00160539,0.01,4036030,4078138,50471,20217,169611
98966,87945,14688,0.00370564,0.0005,32252780,645897,1176893,20294,2889740
124226,83003,2310,0.00370564,0.23,38209922,44118447,312134,224158,627928
16232,10652,12684,0.00182521,0.05,315616,6756092,9375,13849,26545
116115,98118,11052,0.00031941,0.05,3639059,54223806,131108,150395,335026
66177,6349,17332,0.00952101,0.1,4000474,11004602,117138,158641,373265
64050,5188,31464,0.00013363,0.13,44408,21222444,25896,17247,35953
110661,20042,1144,0.00031941,0.23,708415,5275053,3864,12804,6871
106078,18553,6299,0.00018467,0.17,363448,19870443,16240,30888,29729
95437,99103,2109,0.00296184,0.25,28013575,52252550,156278,155610,349853
84667,17519,6750,0.00160539,0.2,2381336,23654003,39785,97186,96990
31526,11513,45258,0.00182521,0.07,662517,36475921,60132,123332,182304
78312,23565,7906,0.00015297,0.3,282301,55892512,27884,49600,20260
34422,86478,23247,0.00163948,0.0005,4880418,1005186,179926,3565,620209
76873,97636,16492,0.00370564,0.03,27813025,48309209,758392,275059,2508700
32360,2665,45187,0.00031941,0.07,27555,8432644,15278,8023,23679
147394,27458,5779,0.00041097,0.2,1663311,31738071,37904,111812,75733
56692,88821,2138,0.00860544,0.2,43333045,37984798,141707,137663,478550
70273,19995,29949,0.00056263,0.005,790577,2994283,52735,9217,155576
17525,66539,8771,0.00031941,0.03,372484,17509862,12275,6741,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,5723,3722,8607
6600,8834,39569,0.00015297,0.13,8920,45445522,3843,3418,24097
92509,84398,3068,0.00370564,0.13,28932221,33670638,227271,138693,531111
139925,7761,5943,0.00182521,0.2,1982194,9226373,32392,98226,85717
99742,15952,1883,0.01084252,0.2,17252080,6010094,77389,63084,195418
8213,29864,12338,0.00860544,0.1,2110867,36848979,31597,26626,137046
148295,70586,10233,0.00008429,0.07,882313,50562229,53066,81853,106411
79098,33153,27005,0.00296184,0.03,7767106,26859588,375972,258493,1155489
29129,30290,17065,0.00182521,0.07,1610458,36185243,52251,70980,151100
88999,13706,10833,0.01084252,0.0005,13226192,74244,312668,3125,822523
145855,29838,5432,0.00034241,0.27,1490188,43763326,37058,111561,65790
96800,66343,67,0.00491597,0.25,31570600,1117164,5669,5305,13463
43568,87023,12162,0.00370564,0.005,14049825,5292307,265570,52623,898034
141319,77728,4482,0.00296184,0.05,32534593,17419100,517638,154983,1035063
144418,7770,9316,0.00056263,0.3,631369,21718658,28369,115501,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,96017,3650,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,10540,10112,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,23376,63658,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,73356,124723,152258
87906,15292,10524,0.00860544,0.15,11568360,24140834,264982,254112,696417
105169,78939,2704,0.00002088,0.23,173346,49111665,23063,8876,7369
32496,6653,19458,0.00031941,0.27,69056,34953644,18635,28851,13626
115721,77929,1260,0.00019487,0.15,1757358,14735341,5965,18148,17815
46787,1840,40047,0.00182521,0.25,157185,18428395,24374,94023,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,724115,296666,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,42089,49837,137065
28436,5810,37630,0.00952101,0.13,1573159,28424557,80272,154166,310728
94130,40069,19510,0.00018467,0.07,696528,54724088,59630,80462,130979
44963,93459,20068,0.01084252,0.005,45563041,9377768,1373875,127754,4720649
99321,47329,4093,0.00163948,0.17,7707002,32939353,92154,107355,201379
22290,3628,41455,0.00056263,0.27,45499,40608411,23056,44552,19101
37323,42190,40215,0.00860544,0.03,13550901,50900603,831271,242055,2903080
70266,23925,8549,0.00182521,0.23,3068395,47046079,61616,135220,152603
108176,10277,16847,0.02533638,0.01,28169438,1731551,1046768,195786,1219710
18623,36187,9617,0.00370564,0.15,2497381,52205458,31280,41727,130844
45554,44248,4608,0.00370564,0.23,7469617,46903538,74242,80066,195790
63185,35864,30908,0.00034241,0.05,775950,55426907,75389,104589,180799
39684,35674,39856,0.02533638,0.0005,35870059,710931,2049867,44884,7503112
145742,7273,5457,0.00041097,0.15,435646,5954690,11524,27591,24668
104935,30190,2283,0.00160539,0.2,5085929,13788125,34394,49699,78718
104687,62677,694,0.00031941,0.15,2095829,6529094,3692,9602,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,6383,18750,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,23942,63377,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,9024,27148,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,72861,89916,250530
99120,5167,1758,0.00182521,0.15,934917,1362866,4727,14781,12013
127421,28581,11899,0.00082185,0.2,2993060,68021844,125348,274334,268603
5977,61918,23382,0.00860544,0.03,3185260,43435153,103455,31954,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,18654,33049,26952
35424,35266,7029,0.00018467,0.03,230702,7437151,9904,3588,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,39979,10679,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,44968,89912,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,756963,490478,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,5377,4281,13501
113741,52296,7952,0.00000464,0.13,27600,54062954,31803,3114,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,80268,106456,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,528523,10871,1460959
67778,67468,17886,0.01084252,0.03,49582161,36203817,1430273,354393,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,46393,17650,144060
60740,33953,7347,0.00015297,0.27,315475,67355810,33219,34511,38176
134395,43005,4828,0.00002088,0.25,120680,51907729,25594,23945,20076
142067,99650,3320,0.00041097,0.13,5818115,43014289,85335,89320,156235
91878,79011,1585,0.00047003,0.3,3412190,37577321,12034,31053,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,21401,79891,53723
51691,40676,21979,0.00491597,0.0005,10336477,447028,357254,8025,1185490
131355,2093,9379,0.00952101,0.03,2617806,588994,58983,44833,165750
23823,4098,31372,0.00082185,0.13,80255,16717387,14660,25260,24623
79806,43266,11330,0.00160539,0.13,5543327,63733088,139780,203480,357598
134593,43061,8367,0.00108175,0.13,6269567,46841184,188265,205587,378241
1845,30962,44492,0.00952101,0.005,544057,6888066,41238,5525,141780
41847,20929,6892,0.00491597,0.1,4305644,14424885,50113,43913,155025
41029,74071,14479,0.00491597,0.03,14940441,32175416,324280,98583,1135680
47220,24989,19836,0.02533638,0.05,29897665,24784903,881988,266948,3006991
118043,87390,12550,0.00182521,0.0005,18828527,548385,706167,7686,1589000
83322,26300,2170,0.00491597,0.25,10773141,14271019,48066,69791,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,28449,38387,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,10179,4762,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,38378,89502,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,17736,13104,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,14462,29899,18511
70411,11972,24600,0.00013363,0.13,112654,38290496,33516,39323,31380
45114,10492,24379,0.00491597,0.01,2327126,2558055,80791,33352,301658
117867,21275,9275,0.00018467,0.13,463104,25653800,24610,45113,49129
137034,91065,2431,0.00002088,0.27,260563,59785667,29664,13050,21612
90185,32471,5210,0.00047003,0.01,1376457,1691889,17102,5592,49944
144112,87176,13029,0.00082487,0.05,10363023,56795187,509582,303187,1050434
22530,10253,48658,0.00160539,0.03,370866,14967638,36691,38712,112109
26419,12879,25452,0.00056263,0.1,191449,32781952,24685,36210,40757
40505,12378,27829,0.00041097,0.2,206065,68898718,42474,80420,25462
124839,80742,12194,0.00000464,0.05,46770,49230041,38662,3095,49356
77031,584,19909,0.00491597,0.3,221416,3492264,17807,67919,34985
46389,21677,12584,0.00082185,0.17,826472,46376622,34539,74011,62307
88987,57897,16601,0.00002483,0.03,127927,28835533,37294,5342,49450
74393,61781,3466,0.00182521,0.23,8388939,49256590,71328,93399,157782
70243,18581,15137,0.00056263,0.13,734374,36566022,38609,88137,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,185531,116223,472963
101995,21211,15495,0.00018467,0.15,399527,49303159,43004,78032,65043
29391,45554,31508,0.00163948,0.001,2195076,1435322,100695,3973,382150
105828,74577,396,0.00056263,0.2,4440503,5911526,4464,7926,12497
53857,9873,23597,0.00160539,0.13,853679,30288539,45500,127934,118489
46060,31593,12477,0.00296184,0.15,4310071,59129895,105406,121873,284582
60528,5350,3159,0.00182521,0.23,591139,3888820,4707,18552,13005
88725,62419,9675,0.00952101,0.05,52729591,30197769,1133087,334234,2927142
3325,56230,3560,0.00296184,0.23,553791,46047145,4745,4584,12925
141148,75771,13011,0.00160539,0.05,17169578,49293225,827216,351382,1647627
30866,17183,18656,0.00078778,0.05,417827,16028511,21655,29220,54496
81106,27977,18993,0.00013363,0.13,303222,69078256,49948,76537,79298
47902,10258,40635,0.00860544,0.07,4228743,29180178,263526,262452,895875
64348,19672,7712,0.00370564,0.2,4690976,30345813,69520,110950,193783
8093,11670,43230,0.00078778,0.07,74402,35315373,24349,13571,24778
