lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
23958,30459,9786,0.00160539,0.0005,1171533,149043,1739,18166,19905,327,1806.0,65802.0
93573,25256,1200,0.00018467,0.3,436441,9094265,130,1689,1819,11108,167.0,4556.0
111378,72781,427,0.00031941,0.1,2589238,3112395,294,2602,2896,5080,105.0,7988.0
59952,21759,2384,0.00041097,0.001,536122,51888,78,3163,3241,105,96.0,8762.0
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022,131.0,6577.0
85283,55401,5954,1.651e-05,0.13,78006,42884765,9518,22248,31766,5405,9454.0,10935.0
88648,49392,11945,0.00296184,0.005,12968430,2949991,5332,339996,345328,53227,2583.0,908915.0
70008,34309,14445,0.00056263,0.001,1351438,495625,2704,37703,40407,1144,2828.0,120098.0
78717,99615,6291,0.00015297,0.05,1199504,31338809,8887,20561,29448,33460,2524.0,67547.0
39049,43377,14025,0.00031941,0.03,541033,18252082,5988,25706,31694,20547,5656.0,56943.0
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,471616,412629,1615.0,1040685.0
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477,4597.0,346210.0
10758,50741,4283,2.483e-05,0.0005,13554,108676,1394,1458,2852,14,1397.0,2214.0
126899,52210,12948,0.00182521,0.07,12092788,47322584,14243,538814,553057,309445,3329.0,1095508.0
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,12644,18996,48.0,22902.0
132278,48224,8077,0.00047003,0.15,2998367,58429137,2873,91196,94069,174315,1986.0,179515.0
17639,14561,16707,0.00160539,0.13,412379,31628398,7600,23214,30814,36391,847.0,40532.0
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,263064,116536,12620.0,1004111.0
87003,95285,15346,0.00182521,0.0005,15131430,731149,8915,518363,527278,7771,8429.0,1384577.0
122724,61616,2796,0.00031941,0.3,2415325,51698106,2074,37265,39339,65907,659.0,50682.0
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564,1890.0,94968.0
10566,5335,13442,0.00013363,0.3,7534,21517895,774,1104,1878,2349,163.0,2094.0
71329,11594,216,0.00082185,0.15,679696,375814,27,386,413,1104,18.0,990.0
62177,74537,22036,0.00082487,0.001,3822919,1642560,8192,142660,150852,7235,8338.0,477252.0
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507,1085.0,134550.0
32231,80720,577,0.00160539,0.3,4176859,13985604,184,3975,4159,6960,194.0,13110.0
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71816,71795,2871.0,203576.0
1609,92929,20795,0.00860544,0.0005,1287247,966261,8859,52391,61250,970,8888.0,163467.0
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,28805,4244,11339.0,25102.0
91522,11923,20111,0.01084252,0.0005,11831944,119900,3039,537932,540971,7852,310.0,1375666.0
49714,63275,30456,4.64e-06,0.001,14595,1927119,8752,27714,36466,68,8787.0,36816.0
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,3314,6040,121.0,9778.0
1984,4188,24646,0.00018467,0.27,1535,27870926,1094,546,1640,812,6525.0,1102.0
127563,20198,2442,0.00018467,0.0005,475808,24668,72,5620,5692,52,110.0,12295.0
44293,66924,333,0.00031941,0.2,946823,4463286,131,762,893,1989,60.0,2047.0
22540,17971,26056,0.00041097,0.005,166477,2341351,2587,16210,18797,1305,2699.0,35147.0
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410,252.0,26727.0
80348,24008,14712,2.483e-05,0.13,47897,45919803,10382,29203,39585,7599,10193.0,35508.0
83116,9119,5696,0.00015297,0.2,115948,10389143,544,6610,7154,12743,284.0,11635.0
29735,25167,22174,0.00082282,0.1,615772,55808823,13127,24557,37684,84354,2009.0,83378.0
2509,8267,27929,0.00082185,0.0005,17048,115445,1443,3294,4737,22,1459.0,5952.0
28028,50464,6709,0.00047003,0.001,664830,338574,2005,11631,13636,347,2051.0,30040.0
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628,203.0,669562.0
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047,560.0,14326.0
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,15790,20215,347.0,66162.0
49255,32636,13889,0.00491597,0.03,7902553,13599335,6269,178259,184528,93289,2125.0,577927.0
42258,16391,1112,0.00182521,0.01,1264237,182419,46,2179,2225,856,37.0,7926.0
8481,44708,6048,0.00078778,0.23,298728,62197325,2114,5911,8025,8077,1404.0,13311.0
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,18659,33173,737.0,21563.0
66341,87385,9302,1.651e-05,0.07,95713,56904020,14085,33930,48015,6221,13112.0,40835.0
66173,57686,8764,0.00952101,0.13,36344782,65725864,22041,494480,516521,375822,980.0,1661037.0
7297,11850,43501,0.00160539,0.03,138831,15465088,5091,15784,20875,17138,5266.0,23733.0
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694,937.0,49397.0
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,15230,5466,2904.0,46731.0
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268,403.0,9750.0
103198,28821,2863,0.00296184,0.001,8809386,82530,113,67354,67467,1437,2676.0,158680.0
43659,47194,33980,2.088e-05,0.03,43023,48110586,16138,45903,62041,4012,14776.0,58407.0
14569,13356,16170,0.02533638,0.23,4930456,49677774,1722,121426,123148,131364,445.0,402422.0
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,36710,6438,2199.0,123200.0
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,12241,5640,2203.0,20928.0
19758,28427,18679,0.00078778,0.001,442480,531023,2853,18426,21279,516,2908.0,53902.0
81348,588,14173,0.00491597,0.01,235532,83476,28,13654,13682,1381,21.0,29384.0
47177,78811,6596,0.00019487,0.0005,724542,259940,2804,15381,18185,219,2820.0,36320.0
106859,15350,569,0.00041097,0.05,674136,437283,45,1118,1163,1319,30.0,3102.0
46367,11048,135,0.00491597,0.17,2518299,253986,24,552,576,862,16.0,1828.0
4057,67762,26834,0.00031941,0.01,87815,18184051,11173,23794,34967,1733,11109.0,33773.0
43333,88804,1885,2.088e-05,0.25,80349,41864390,1707,2356,4063,3203,795.0,4409.0
46756,53769,7584,0.00160539,0.01,4036030,4078138,3177,50471,53648,20217,3312.0,169611.0
98966,87945,14688,0.00370564,0.0005,32252780,645897,15404,1176893,1192297,20294,10230.0,2889740.0
124226,83003,2310,0.00370564,0.23,38209922,44118447,2102,312134,314236,224158,442.0,627928.0
9619,43777,19845,0.00108175,0.001,455549,868786,4344,22841,27185,654,4337.0,60811.0
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,10513,13849,501.0,26545.0
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,146549,150395,5345.0,335026.0
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641,324.0,373265.0
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,27382,17247,591.0,35953.0
7082,51415,40783,0.00015297,0.005,55707,10484603,10986,25949,36935,888,10904.0,39735.0
54135,41752,38273,0.00041097,0.001,928910,1598008,7508,77480,84988,2403,7523.0,228251.0
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,4102,12804,137.0,6871.0
32780,23130,17094,4.34e-06,0.15,3290,59309957,13602,4995,18597,978,2018.0,24787.0
125416,14326,3,0.01084252,0.1,19481042,4681,8,242,250,131,6.0,416.0
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,17312,30888,930.0,29729.0
95437,99103,2109,0.00296184,0.25,28013575,52252550,1746,156278,158024,155610,1094.0,349853.0
39597,80778,1805,1.651e-05,0.2,52809,29176245,1448,1833,3281,1766,763.0,2910.0
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,40901,97186,368.0,96990.0
82848,70924,10716,2.483e-05,0.005,145901,3800364,4140,21478,25618,633,4104.0,28434.0
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,69185,123332,2585.0,182304.0
25202,25620,6199,0.00082282,0.0005,531287,79412,1208,7202,8410,122,1232.0,20378.0
34422,86478,23247,0.00163948,0.0005,4880418,1005186,9759,179926,189685,3565,10006.0,620209.0
14144,5309,15737,4.34e-06,0.27,325,22561902,846,10311,11157,226,5912.0,1008.0
44358,16271,11685,0.00082487,0.005,595392,950746,1464,14507,15971,2300,1474.0,44062.0
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059,7520.0,2508700.0
70658,18099,4270,2.088e-05,0.001,26703,77287,353,3727,4080,20,342.0,4804.0
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023,506.0,23679.0
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,39619,111812,323.0,75733.0
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663,498.0,478550.0
70273,19995,29949,0.00056263,0.005,790577,2994283,3374,52735,56109,9217,3370.0,155576.0
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741,5422.0,26041.0
1009,17035,19372,0.00296184,0.17,50953,56103796,12332,5723,18055,3722,1703.0,8607.0
60971,35514,27626,4.64e-06,0.01,10047,9811375,6175,23910,30085,416,6095.0,29026.0
6600,8834,39569,0.00015297,0.13,8920,45445522,9943,3843,13786,3418,1782.0,24097.0
130616,24944,4186,2.088e-05,0.1,68030,10442452,939,7763,8702,2516,2727.0,10223.0
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,229007,138693,13384.0,531111.0
52822,18225,38829,4.64e-06,0.005,4467,3538562,3778,20375,24153,104,3885.0,24010.0
139925,7761,5943,0.00182521,0.2,1982194,9226373,229,32392,32621,98226,105.0,85717.0
99742,15952,1883,0.01084252,0.2,17252080,6010094,110,77389,77499,63084,369.0,195418.0
8213,29864,12338,0.00860544,0.1,2110867,36848979,8753,31597,40350,26626,8717.0,137046.0
148295,70586,10233,8.429e-05,0.07,882313,50562229,12317,53066,65383,81853,3552.0,106411.0
106369,78741,8068,1.651e-05,0.01,138282,6353193,4036,18655,22691,950,4092.0,25967.0
102483,8370,9648,4.64e-06,0.0005,3980,40382,362,7072,7434,13,355.0,7036.0
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493,4139.0,1155489.0
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,61678,70980,2378.0,151100.0
143150,93278,87,0.00034241,0.0005,4572144,4072,17,1409,1426,36,13.0,3100.0
2642,15576,26398,8.429e-05,0.15,3469,61676811,13214,2179,15393,1659,13094.0,3552.0
145855,29838,5432,0.00034241,0.27,1490188,43763326,1661,37058,38719,111561,605.0,65790.0
119691,59648,8692,4.64e-06,0.0005,33126,259236,2737,13977,16714,27,2749.0,18089.0
5045,25567,931,0.00860544,0.1,1110180,2381508,96,1414,1510,1159,61.0,5623.0
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25.0,13463.0
43568,87023,12162,0.00370564,0.005,14049825,5292307,8049,265570,273619,52623,6560.0,898034.0
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,528567,154983,1679.0,1035063.0
89197,17394,20382,0.00082185,0.0005,1275105,177266,2082,55530,57612,626,2114.0,172556.0
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501,162.0,53416.0
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,99187,3650,3679.0,343975.0
4614,77191,1977,0.01084252,0.17,3862101,25955135,1478,10540,12018,10112,783.0,40826.0
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,23722,63658,200.0,57461.0
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,74157,124723,181.0,152258.0
4425,2806,3070,0.02533638,0.15,314627,1292552,45,1134,1179,1932,32.0,5014.0
87906,15292,10524,0.00860544,0.15,11568360,24140834,1473,264982,266455,254112,580.0,696417.0
105169,78939,2704,2.088e-05,0.23,173346,49111665,1671,23063,24734,8876,10318.0,7369.0
32496,6653,19458,0.00031941,0.27,69056,34953644,1218,18635,19853,28851,299.0,13626.0
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,6314,18148,932.0,17815.0
89836,36122,107,0.00015297,0.01,496399,38889,17,226,243,130,12.0,478.0
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,25158,94023,162.0,49823.0
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666,570.0,1588258.0
54821,11573,4809,0.00860544,0.15,5459856,8349149,175,42089,42264,49837,297.0,137065.0
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,87030,154166,1126.0,310728.0
94130,40069,19510,0.00018467,0.07,696528,54724088,13340,59630,72970,80462,3791.0,130979.0
46606,75002,22719,0.00047003,0.001,1643041,1704005,8075,72908,80983,2407,8209.0,228202.0
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754,14619.0,4720649.0
