lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
102978,88696,1633,2.48e-05,0.25,226792,36225958,9133736688,144840568,168163074,14900000000000.0,6.21e-06,1043.872282,92587295.91,8220000000000.0,9280000000.0,1539,3404,4943,7365,360,5520
66177,6349,17332,0.00952101,0.1,4000474,11004602,420157773,110040868,1146979764,7280000000000.0,0.000952101,1092040.58,6933365644.0,44000000000000.0,530000000.0,979,117138,118117,158641,324,373265
141685,11046,7196,0.00041097,0.15,643231,11925181,1565052510,79487016,1019565260,11300000000000.0,6.159999999999999e-05,62851.610239999995,694258886.7,7670000000000.0,1640000000.0,866,19300,20166,53239,168,42764
94741,3356,15316,0.00491597,0.15,1563061,7710242,317950796,51400496,1451053156,4870000000000.0,0.0007373960000000001,1070000.067,3590920227.0,12100000000000.0,369000000.0,224,53350,53574,149334,118,151154
27348,47832,5357,0.00082487,0.17,1079063,43565662,1308109536,256236024,146503236,7010000000000.0,0.000140228,20543.84113,982653008.8,47000000000000.0,1560000000.0,1849,10260,12109,21240,1309,44795
48234,38463,11680,0.00491597,0.15,9120364,67391809,1855224342,449247840,563373120,21700000000000.0,0.0007373960000000001,415428.8035,15978638069.0,615000000000000.0,2300000000.0,17831,167870,185701,185310,894,567868
91693,38945,5109,1.65e-05,0.2,58958,39797735,3570983885,198970005,468459537,18200000000000.0,3.302e-06,1546.853391,60242205.32,2350000000000.0,3770000000.0,2169,19202,21371,5127,1038,21956
130037,81420,4458,2.09e-05,0.13,221070,47194872,10587612540,362970360,579704946,47200000000000.0,2.71e-06,1573.551105,128118531.0,10400000000000.0,11000000000.0,10580,25416,35996,21363,706,23193
8385,43049,18200,0.00082185,0.07,296682,54846552,360965865,783491800,152607000,6570000000000.0,5.7499999999999995e-05,8779.404407,377944580.3,16300000000000.0,1140000000.0,13438,16980,30418,15383,14137,39547
35930,18510,43427,0.00108175,0.05,719456,40193270,665064300,803833770,1560332110,28900000000000.0,5.41e-05,84394.463,1562141510.0,28900000000000.0,1470000000.0,11389,67415,78804,113626,3888,195502
67996,55908,12112,0.00296184,0.05,11259707,33859293,3801520368,677157696,823567552,46000000000000.0,0.000148092,121963.7659,6818750225.0,381000000000000.0,4480000000.0,11433,239740,251173,164522,3298,758334
141815,72084,4985,0.00182521,0.15,18658731,53907250,10222592460,359338740,706947775,51000000000000.0,0.00027378200000000003,193549.2223,13951802137.0,1010000000000000.0,10600000000.0,2535,362039,364574,228512,891,680403
11245,56010,8073,0.00019487,0.13,122741,58786002,629832450,452168730,90780885,5080000000000.0,2.5300000000000002e-05,2299.761238,128809626.9,7220000000000.0,1080000000.0,13536,7276,20812,7970,13034,12019
146542,47400,14083,0.00015297,0.005,1062553,3337732,6946090800,667534200,2063750986,97800000000000.0,7.65e-07,1578.459942,74819001.23,3550000000000.0,7610000000.0,3643,50181,53824,7298,3850,132569
117473,19911,12853,0.00047003,0.17,1099416,43509121,2339004903,255916083,1509880469,30100000000000.0,7.99e-05,120647.1499,2402205401.0,47800000000000.0,2590000000.0,1910,52321,54231,158593,1298,106091
