lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477,4597,346210
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,12644,18996,48,22902
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,263064,116536,12620,1004111
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507,1085,134550
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047,560,14326
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,15790,20215,347,66162
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268,403,9750
124226,83003,2310,0.00370564,0.23,38209922,44118447,2102,312134,314236,224158,442,627928
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,146549,150395,5345,335026
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,39619,111812,323,75733
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663,498,478550
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741,5422,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,12332,5723,18055,3722,1703,8607
6600,8834,39569,0.00015297,0.13,8920,45445522,9943,3843,13786,3418,1782,24097
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25,13463
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,528567,154983,1679,1035063
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501,162,53416
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,6314,18148,932,17815
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666,570,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,175,42089,42264,49837,297,137065
108176,10277,16847,0.02533638,0.01,28169438,1731551,330,1046768,1047098,195786,241,1219710
15239,2305,16071,0.00952101,0.23,334514,8522074,140,9024,9164,27148,209,29781
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679,2684,169514
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783,1460959
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319,38176
51691,40676,21979,0.00491597,0.0005,10336477,447028,5503,357254,362757,8025,5563,1185490
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,51376,43913,477,155025
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948,2428,3006991
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502,1595,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104,360,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899,250,18511
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399,437,157782
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223,234,472963
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220,1442,54496
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950,311,193783
70750,40157,28409,8.43e-05,0.03,239480,34225737,11672,50324,61996,16552,15863,84519
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013,449,13536
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,22741,84222,96,47609
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
40745,21940,7324,0.00182521,0.13,1631684,20892047,1465,23955,25420,40847,578,67111
60641,8346,26013,0.00860544,0.07,4355582,15198445,4795,180726,185521,204435,1085,612053
143107,69551,6835,4.34e-06,0.13,43197,61802128,14648,32032,46680,3926,2449,35055
32293,98352,2386,0.00031941,0.13,1014481,30511506,7476,6072,13548,10224,7133,10125
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808,537,13699
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,498994,185512,658,1137366
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,22801,37877,1048,71788
141685,11046,7196,0.00041097,0.15,643231,11925181,866,19300,20166,53239,168,42764
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839,1320,4686
27298,79766,4489,0.00163948,0.01,3569962,3581339,3058,25667,28725,11252,2797,89637
5226,6183,36112,0.00296184,0.2,95718,44659764,1814,6759,8573,19148,9792,22029
106799,17837,15074,0.00952101,0.2,18137811,53778313,2055,720904,722959,555376,1383,1730856
47748,2131,15014,0.00160539,0.23,163390,7360783,121,9706,9827,35097,80,20323
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,81745,76994,5176,217923
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,60825,24041,9962,200444
32149,36429,16534,2.09e-05,0.1,24454,60236341,13952,30421,44373,3922,13230,13334
141588,21428,3550,0.00018467,0.1,560287,7608172,289,9834,10123,17138,476,21584
26703,74691,22749,8.43e-05,0.01,168118,16992017,10468,38779,49247,3553,10506,56702
63747,46730,22053,0.00082185,0.005,2448262,5152867,5745,94304,100049,19598,5958,311427
109228,25348,5275,0.00163948,0.13,4539417,17384897,1224,71297,72521,93938,435,160415
139897,49460,2960,0.00182521,0.05,12629356,7321594,1291,142512,143803,70782,466,275669
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,285607,162839,96,301817
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,1976725,455431,7278,6344489
81724,58758,3114,2.09e-05,0.25,100265,45750072,10620,3911,14531,6319,970,15494
112858,36186,11984,0.00031941,0.13,1304471,56380562,12867,60434,73301,154425,2229,121227
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,86995,11701,3644,227207
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589,2177,1404512
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,32940,69208,692,38575
41526,6876,37572,2.48e-05,0.17,7090,43921099,9862,21326,31188,3534,1357,30719
109787,84007,12567,0.00082185,0.005,7579868,5278713,7366,287485,294851,39415,5645,673062
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,47631,29292,9044,75373
41815,28148,4767,0.02533638,0.3,29821998,40258047,1381,207516,208897,247776,294,718715
115202,59641,6193,0.00160539,0.03,11030405,11082500,5946,212349,218295,97268,1727,466523
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,14317,3486,10299,5971
12390,12503,17078,0.00056263,0.15,87166,32030299,1504,17567,19071,12458,1104,18269
81464,7120,25173,0.00491597,0.05,2851458,8961824,1563,128913,130476,175920,628,404195
125857,42282,11878,0.00108175,0.13,5756540,65294101,15849,242265,258114,279746,2563,490901
128261,9592,15190,0.00034241,0.27,421271,39342141,1546,40058,41604,128722,525,66028
35930,18510,43427,0.00108175,0.05,719456,40193270,11389,67415,78804,113626,3888,195502
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,80618,98574,1143,296070
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,440693,230110,6095,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,11456,31389,42845,20828,11109,28563
44171,76085,461,0.00296184,0.3,9954267,10531483,165,7240,7405,11527,189,24159
90671,14282,15507,1.65e-05,0.2,21380,44297385,9679,19951,29630,5388,1146,23697
78709,24244,14016,8.43e-05,0.05,160849,16991946,4540,21235,25775,13283,4444,35467
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,292086,20373,498,740885
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,9938,14390,1321,26794
66726,22607,1330,0.00163948,0.13,2473191,3910963,135,7157,7292,13739,169,18964
44946,23862,10346,0.00013363,0.05,143321,12345012,3432,12664,16096,5487,3534,18527
149955,36504,9381,2.48e-05,0.2,135920,68490979,2745,43214,45959,20717,14898,37097
12643,99596,2325,0.00041097,0.13,517516,30104139,1473,4775,6248,4143,1201,10349
148354,99024,4604,0.00370564,0.13,54438984,59269117,3096,943274,946370,466170,867,1866179
66980,36237,9185,0.00082487,0.13,2002126,43272073,10028,48177,58205,90976,1462,109094
49759,2614,21492,0.00082487,0.17,107315,9552833,178,13002,13180,26405,1085,25545
13499,38946,34963,0.00082487,0.005,433667,6808399,7450,40469,47919,7348,7097,105920
116768,68224,6487,0.00491597,0.07,39163128,30982527,2804,753570,756374,223395,2137,1713565
38557,54026,22112,0.00018467,0.03,384695,35840441,12048,44877,56925,19868,10631,49721
143052,52536,2399,0.00078778,0.07,5920522,8823825,1027,54997,56024,47971,1144,117440
80027,15153,11376,0.00078778,0.2,955350,34478646,1732,35624,37356,109140,636,71745
115963,36450,9188,0.00015297,0.2,646590,66987116,14872,31639,46511,115555,1755,54605
111901,76334,779,0.00056263,0.23,4805928,13678481,368,10459,10827,22076,326,28108
22778,10815,19643,0.00056263,0.13,138607,27618796,6532,13860,20392,28763,898,26196
16040,39396,27507,0.00952101,0.001,6016511,1083671,6054,235257,241311,11554,5722,881754
144319,38023,7918,0.00860544,0.005,47222253,1505374,1381,1234024,1235405,106462,1325,2630790
51594,92721,20107,0.00296184,0.01,14169019,18644313,14713,477089,491802,128927,10431,1550798
54986,14587,17892,0.00013363,0.15,107182,39148904,8821,19998,28819,26793,521,30547
71630,54634,1408,0.00296184,0.3,11591069,23091874,768,28668,29436,49367,176,93014
26889,71999,9831,0.00370564,0.01,7174091,7078480,5636,106373,112009,29793,5511,378972
50934,66250,15893,0.00491597,0.03,16588394,31588707,13683,415649,429332,166783,4882,1429942
74758,70969,1479,0.00031941,0.15,1694668,15753736,383,5916,6299,20893,410,17385
77588,7012,13176,0.00108175,0.17,588548,15707328,299,22254,22553,76503,232,54712
126989,67460,7212,0.00041097,0.13,3520680,63253426,15559,102350,117909,142897,2257,199807
8877,3484,43992,0.00031941,0.3,9881,45990272,1824,19359,21183,8109,376,16409
113491,42518,3849,0.00163948,0.2,7911293,32733423,1719,102140,103859,113186,600,210519
50762,86228,9706,0.01084252,0.0005,47459485,418503,11041,723059,734100,11979,11032,2416551
145187,329,915,0.02533638,0.07,1213491,21132,10,3463,3473,4018,6,3525
16099,54215,4437,0.00034241,0.17,298866,40895601,9473,5164,14637,7928,1236,10965
65650,18087,19824,0.00491597,0.05,5837537,17929190,6148,198283,204431,176750,1745,630627
25990,4298,32818,0.00019487,0.27,21773,38093822,1512,21544,23056,20527,567,26381
45618,54388,7874,0.01084252,0.07,26901567,29979312,2520,330980,333500,141955,1469,1080030
93935,73922,13905,0.00034241,0.005,2377694,5139488,5690,77431,83121,14305,5891,228101
18107,12950,22537,0.00015297,0.23,35872,67129085,2372,33063,35435,26974,578,9846
38161,17898,18304,0.00056263,0.15,384302,49144312,10708,33311,44019,62884,1089,46874
23590,50019,790,0.01084252,0.3,12793700,11868472,157,13706,13863,21601,219,51898
44607,19677,39166,0.00952101,0.005,8357244,3853527,5661,477671,483332,92943,3362,1688947
69020,29619,10640,0.00160539,0.05,3281969,15758694,4961,63950,68911,82509,1524,198465
11367,36617,26881,0.00041097,0.01,171068,9843198,6027,20275,26302,3148,5890,45305
18531,49721,8755,0.00056263,0.07,518413,30473466,7497,10840,18337,15634,7129,30314
66970,42015,17454,0.00034241,0.07,963482,51334084,12650,56459,69109,82683,3591,125932
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586,151,54877
89398,60028,20137,0.00952101,0.0005,51094075,604412,15981,2301706,2317687,36508,12553,5881714
