lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,34588,76241
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,471616,412629
126899,52210,12948,0.00182521,0.07,12092788,47322584,14243,538814,553057,309445
131403,43733,7722,8.43E-05,0.1,484397,33774444,7957,29621,37578,34386
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,263064,116536
122724,61616,2796,0.00031941,0.3,2415325,51698106,2074,37265,39339,65907
62177,74537,22036,0.00082487,0.001,3822919,1642560,8192,142660,150852,7235
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71816,71795
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,28805,4244
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,3314,6040
80348,24008,14712,2.48E-05,0.13,47897,45919803,10382,29203,39585,7599
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,15790,20215
8481,44708,6048,0.00078778,0.23,298728,62197325,2114,5911,8025,8077
66341,87385,9302,1.65E-05,0.07,95713,56904020,14085,33930,48015,6221
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,15230,5466
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,36710,6438
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858
98966,87945,14688,0.00370564,5.00E-04,32252780,645897,15404,1176893,1192297,20294
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,27382,17247
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,17312,30888
95437,99103,2109,0.00296184,0.25,28013575,52252550,1746,156278,158024,155610
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,40901,97186
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023
70273,19995,29949,0.00056263,0.005,790577,2994283,3374,52735,56109,9217
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,229007,138693
139925,7761,5943,0.00182521,0.2,1982194,9226373,229,32392,32621,98226
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,61678,70980
43568,87023,12162,0.00370564,0.005,14049825,5292307,8049,265570,273619,52623
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501
