lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022
78717,99615,6291,0.00015297,0.05,1199504,31338809,8887,20561,29448,33460
39049,43377,14025,0.00031941,0.03,541033,18252082,5988,25706,31694,20547
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,471616,412629
126899,52210,12948,0.00182521,0.07,12092788,47322584,14243,538814,553057,309445
87003,95285,15346,0.00182521,5.00E-04,15131430,731149,8915,518363,527278,7771
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,28805,4244
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,3314,6040
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410
80348,24008,14712,2.48E-05,0.13,47897,45919803,10382,29203,39585,7599
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047
66341,87385,9302,1.65E-05,0.07,95713,56904020,14085,33930,48015,6221
66173,57686,8764,0.00952101,0.13,36344782,65725864,22041,494480,516521,375822
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,15230,5466
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268
14569,13356,16170,0.02533638,0.23,4930456,49677774,1722,121426,123148,131364
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,36710,6438
98966,87945,14688,0.00370564,5.00E-04,32252780,645897,15404,1176893,1192297,20294
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,10513,13849
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,27382,17247
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,4102,12804
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,39619,111812
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741
99742,15952,1883,0.01084252,0.2,17252080,6010094,110,77389,77499,63084
88999,13706,10833,0.01084252,5.00E-04,13226192,74244,253,312668,312921,3125
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,23722,63658
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,87030,154166
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754
22290,3628,41455,0.00056263,0.27,45499,40608411,1561,23056,24617,44552
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,63211,135220
108176,10277,16847,0.02533638,0.01,28169438,1731551,330,1046768,1047098,195786
18623,36187,9617,0.00370564,0.15,2497381,52205458,12587,31280,43867,41727
45554,44248,4608,0.00370564,0.23,7469617,46903538,1439,74242,75681,80066
63185,35864,30908,0.00034241,0.05,775950,55426907,15032,75389,90421,104589
145742,7273,5457,0.00041097,0.15,435646,5954690,132,11524,11656,27591
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,25211,63377
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,20133,33049
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,12483,3588
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,88785,106456
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,1451966,354393
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260
