lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
40201,71349,4284,2.48E-05,0.01,71221,3056802,2018,6077,8095,285
72780,11679,3419,0.00082185,0.23,698627,9187066,466,7244,7710,28515
1827,21271,30602,4.34E-06,0.01,168,6509595,3957,1899,5856,78
116562,94774,3845,0.00041097,0.15,4540048,54662673,13187,49861,63048,90680
85537,5717,7144,0.00182521,0.15,892647,6127718,187,15675,15862,54706
106020,21986,35,0.00163948,0.0005,3821663,391,9,425,434,14
12681,73737,1113,0.00952101,0.23,8903127,18883982,332,13577,13909,17404
110364,39865,7162,0.00952101,0.005,41889837,1427709,9020,788644,797664,81459
32543,30495,32769,0.00491597,0.005,4878789,4996561,6360,239255,245615,51399
141389,56661,2337,0.00041097,0.17,3292409,22519960,1308,32786,34094,58349
35749,38651,4677,0.01084252,0.23,14981947,41584161,1962,100136,102098,109509
53032,52677,9873,0.00082487,0.13,2304366,67616832,3701,63510,67211,83014
128235,27404,2285,2.48E-05,0.17,87258,10648390,645,5214,5859,2406
111795,30179,13541,2.09E-05,0.05,70447,20433382,5498,26103,31601,4458
70058,3503,3509,0.00047003,0.005,115372,61482,32,3154,3186,192
108251,6926,14586,0.00182521,0.13,1368620,13135350,409,47622,48031,146086
25036,85515,11825,0.00034241,0.03,733108,30337863,10326,24576,34902,16191
28647,87883,10842,0.00160539,0.001,4041859,952870,5058,71770,76828,2854
125395,67952,8623,2.48E-05,0.005,211576,2929901,3287,21927,25214,705
44297,61348,17656,4.64E-06,0.005,12609,5416107,5945,15889,21834,145
75801,66318,17737,1.65E-05,0.03,82996,35290874,12205,38720,50925,4058
63489,87808,1154,0.00082282,0.05,4587192,5068982,648,9475,10123,11936
34840,8433,25300,2.09E-05,0.3,6135,64015735,1963,29374,31337,3882
20177,68040,26827,0.00182521,0.0005,2505770,912677,8653,104169,112822,1946
60794,60167,3135,0.00860544,0.05,31477547,9432298,1557,152526,154083,54122
26818,40542,9059,0.00163948,0.15,1782568,55096311,12983,22750,35733,49011
17983,1419,9803,0.00491597,0.27,125527,3758272,70,3441,3511,13171
83872,79549,15943,4.64E-06,0.03,30958,38049497,12600,33932,46532,1514
75593,18971,18466,0.00056263,0.1,806901,35033768,8495,45953,54448,109518
52395,86072,14633,0.00160539,0.01,7239995,12595016,9465,187865,197330,70575
74178,84288,11408,0.00860544,0.05,53804921,48082497,23402,1048610,1072012,355398
72491,26777,18378,2.09E-05,0.07,40531,34448796,8533,27242,35775,4168
34871,78138,22239,2.48E-05,0.0005,67656,868880,7987,26960,34947,82
40231,25892,47344,0.00082185,0.05,856098,61292839,17911,97546,115457,164800
74042,36954,5835,0.00031941,0.07,873966,15094274,4195,17894,22089,26452
20687,66742,4914,0.00031941,0.001,441029,327987,2002,7789,9791,188
62959,17337,25969,0.00163948,0.005,1789632,2251266,2755,76967,79722,17111
102485,4494,1166,0.00108175,0.05,498261,262042,32,1959,1991,1779
99114,30819,9747,0.00047003,0.13,1435778,39055336,9440,49509,58949,113753
85615,13125,11005,0.00163948,0.17,1842318,24555493,1370,51895,53265,134084
130470,53709,13005,2.48E-05,0.05,173997,34927173,9719,38231,47950,9640
21524,2973,47185,0.00952101,0.27,609417,37884870,1541,47607,49148,138403
32536,39882,7830,0.01084252,0.15,14069493,46844825,2206,188794,191000,129947
28693,42503,18991,0.00082282,0.0005,1003493,403609,4093,35568,39661,508
48208,31115,19815,4.34E-06,0.001,6510,616582,3231,12367,15598,36
51313,23983,35195,0.00082487,0.005,1015132,4220503,4748,64576,69324,12398
126840,402,8738,0.01084252,0.1,554149,352093,30,16576,16606,26332
89527,10395,7012,2.48E-05,0.25,23108,18224705,332,9426,9758,2952
