lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm_total,bz_smsm
51066,53986,8453,0.00019487,0.005,537230,2281808,2610,15996,18606,1692
59185,11605,6891,1.65e-05,0.3,11340,23993000,889,12819,13708,1796
32418,28254,29437,0.00082185,0.01,752774,8317392,5327,43744,49071,16730
32405,4776,42173,0.00031941,0.15,49438,30215362,1388,23872,25260,19461
53586,21249,39581,0.00034241,0.005,389901,4205466,4684,45704,50388,7278
4803,52527,6823,0.00860544,0.07,2171101,25088807,6763,20340,27103,10982
53880,85303,4081,0.00041097,0.13,1888903,45260545,10659,14515,25174,38893
12929,14434,15123,0.00182521,0.23,340644,50207662,1800,8566,10366,25127
48686,5235,19604,0.00370564,0.23,944632,23609110,1081,39671,40752,130118
112194,22234,17069,1.65e-05,0.17,41184,64518913,2720,43265,45985,25104
53032,52677,9873,0.00082487,0.13,2304366,67616832,3701,63510,67211,83014
72160,50606,5963,1.65e-05,0.23,60291,69417708,2535,31556,34091,7597
146470,8081,8129,0.00056263,0.2,665994,13139510,224,22321,22545,74560
98424,59478,6192,0.00013363,0.01,782296,3682991,2538,17822,20360,4141
2115,8578,23285,0.00296184,0.25,53755,49939462,2116,4004,6120,6693
65851,32180,1894,0.00047003,0.25,996058,15239910,568,3539,4107,18438
117262,73799,10245,0.00296184,0.0005,25631366,378061,7628,791750,799378,7930
76040,67647,3938,0.00491597,0.03,25287662,7992790,1520,179822,181342,67910
139169,50831,2641,4.64e-06,0.001,32824,134287,604,4727,5331,22
60937,24655,4930,0.00952101,0.2,14304703,24311593,1161,125956,127117,131925
47194,2451,13335,0.00952101,0.15,1101468,4903302,149,23960,24109,67934
102554,24985,1621,0.00491597,0.01,12596478,405131,98,53127,53225,11634
98758,88572,4156,0.00019487,0.05,1704568,18407905,5357,25809,31166,30473
135965,16992,10196,0.00015297,0.13,353423,22523474,1589,25237,26826,41019
6925,56180,1098,2.09e-05,0.27,8124,16663658,295,353,648,269
28647,87883,10842,0.00160539,0.001,4041859,952870,5058,71770,76828,2854
6711,69060,5404,0.00952101,0.03,4412859,11196560,4822,32729,37551,9715
69076,22128,4380,0.00019487,0.3,297867,29080145,1019,10241,11260,27859
818,6825,44022,0.00296184,0.05,16554,15023006,4247,3621,7868,1985
131910,55678,14962,0.00163948,0.0005,12041261,416554,5729,603738,609467,8319
128235,27404,2285,2.48e-05,0.17,87258,10648390,645,5214,5859,2406
118647,39207,2116,1.65e-05,0.2,76802,16598253,336,6648,6984,2522
24080,22945,7051,1.65e-05,0.13,9122,21034257,1575,2109,3684,805
88449,58724,10523,0.00047003,0.05,2441423,30899587,8669,67277,75946,93472
87793,9394,6423,0.00013363,0.01,110216,603499,118,6956,7074,548
114102,10003,1121,4.64e-06,0.25,5296,2805360,57,1489,1546,148
23343,76927,1887,2.09e-05,0.27,37495,39199902,1477,1382,2859,1734
52996,89484,21233,0.00078778,0.001,3735936,1900092,9320,138628,147948,5365
58116,8495,30520,0.00082282,0.15,406236,38891416,8808,36607,45415,128890
48208,31115,19815,4.34e-06,0.001,6510,616582,3231,12367,15598,36
10735,11997,42152,0.00078778,0.05,101468,25286215,6869,22211,29080,13638
47208,8543,1170,0.00952101,0.25,3839969,2500183,68,6421,6489,11516
37160,28980,8874,0.02533638,0.2,27285153,51434252,2087,382811,384898,327542
76244,65618,5412,0.00018467,0.13,923904,46166594,10641,12556,23197,47839
69458,65159,2,0.00163948,0.2,7420009,28864,11,96,107,62
115481,25746,15207,2.48e-05,0.01,73824,3915363,2604,23157,25761,1021
76809,12040,15667,8.43e-05,0.1,77955,18865079,1802,19522,21324,9206
116755,7237,3140,0.00182521,0.001,1542262,22726,38,12090,12128,228
34173,17315,19730,4.64e-06,0.1,2745,34164468,7990,20514,28504,590
18656,39527,10327,0.00491597,0.03,3625376,12246297,4615,50743,55358,29965
59813,13687,4343,0.00082282,0.15,673627,8917505,572,7608,8180,23034
22814,18351,4391,0.00163948,0.01,686422,805882,405,5508,5913,1889
72491,26777,18378,2.09e-05,0.07,40531,34448796,8533,27242,35775,4168
34840,8433,25300,2.09e-05,0.3,6135,64015735,1963,29374,31337,3882
9848,51976,9508,0.00860544,0.01,4405086,4942105,3834,54415,58249,12917
52978,54162,13658,4.64e-06,0.07,13314,51783270,12586,28796,41382,1316
107041,83301,7242,0.00160539,0.07,14314822,42233263,13508,311121,324629,178119
148005,37372,12843,0.00082185,0.005,4545945,2399929,3227,207026,210253,24713
108251,6926,14586,0.00182521,0.13,1368620,13135350,409,47622,48031,146086
94491,15078,9285,4.64e-06,0.01,6611,1400092,1129,8000,9129,90
95992,13413,18845,0.00047003,0.17,605217,42973321,1892,50236,52128,140711
9914,63011,23906,0.00163948,0.03,1024200,45191197,15538,46377,61915,36642
14111,5473,17946,0.00108175,0.3,83549,29467999,1173,14205,15378,20674
120900,23938,3024,0.00163948,0.27,4744993,19545907,796,48965,49761,74700
31686,31628,45042,0.00160539,0.005,1608914,7123187,7939,108449,116388,26887
39685,18131,36036,0.00182521,0.05,1313355,32670331,9222,82751,91973,125653
48358,54234,5866,0.00018467,0.07,484326,22272010,5595,17563,23158,18804
41579,19913,10607,0.00015297,0.13,126662,27461246,6340,12760,19100,12049
20225,17633,5158,0.00078778,0.2,280968,18191142,366,3519,3885,10256
113584,28584,6111,0.00491597,0.03,15961086,5240830,1420,281050,282470,99153
44507,79668,7391,0.00056263,0.01,1994986,5889021,4228,30646,34874,13574
115306,30847,1809,2.48e-05,0.25,88319,13951812,523,5172,5695,2746
96185,16044,3942,0.02533638,0.2,39100624,12652555,218,330494,330712,283702
17203,9276,46574,1.65e-05,0.15,2634,64806756,14570,6463,21033,2105
12689,1955,47651,2.48e-05,0.23,616,21437334,1071,11535,12606,570
95355,76328,2881,0.00182521,0.05,13284465,10997063,5812,100207,106019,52502
52550,13393,1428,0.00182521,0.3,1284598,5737912,194,2802,2996,11243
110232,84037,7524,0.00047003,0.01,4354207,6323387,4283,93198,97481,26060
32543,30495,32769,0.00491597,0.005,4878789,4996561,6360,239255,245615,51399
58711,11652,140,0.00078778,0.13,538947,213355,24,220,244,567
45569,38314,7532,0.00082185,0.001,1434944,288613,1788,19615,21403,680
36658,98527,416,8.43e-05,0.03,304440,1230145,99,1075,1174,326
146738,11724,14562,0.00031941,0.07,549516,11951611,1638,34663,36301,44409
95572,77731,4998,0.00018467,0.17,1371911,66053099,14929,17312,32241,63712
111497,45818,5490,0.00047003,0.25,2401219,62887215,1970,56261,58231,105438
74131,8372,8229,0.00031941,0.0005,198257,34451,100,8118,8218,59
