lr,lc,rc,ld,rd,lnnz,rnnz
133615,48032,11168,0.00047003,0.13,3016572,69735088
48358,54234,5866,0.00018467,0.07,484326,22272010
112273,19392,7870,2.48E-05,0.13,54060,19840660
33047,17905,8258,0.00860544,0.001,5092216,147869
112238,64949,4299,0.00082282,0.25,5998169,69813465
48202,56017,3874,0.00056263,0.15,1519212,32556988
109189,27977,13789,0.00019487,0.03,595299,11574206
39405,18113,13763,0.00491597,0.27,3508935,67313244
68995,27841,15139,0.00013363,0.13,256697,54796778
103197,28816,14217,0.01084252,0.15,32242926,61453101
70082,14176,14605,0.00163948,0.25,1628826,51761657
47208,8543,1170,0.00952101,0.25,3839969,2500183
108507,50111,1630,0.01084252,0.005,58955505,408583
95173,10194,4421,0.00082185,0.3,797410,13521436
17514,38391,2308,0.00108175,0.001,727362,88623
86206,30078,6355,1.65E-05,0.15,42810,28674350
106549,23951,4413,0.00047003,0.07,1199520,7399721
62515,61145,8313,0.00160539,0.01,6136765,5083212
33903,32067,39358,0.00860544,0.0005,9355883,631055
125424,46060,5453,0.00108175,0.17,6249442,42699378
34649,17254,24,0.00370564,0.01,2215399,4197
85152,22155,919,0.02533638,0.001,47798876,20380
40158,2274,42995,8.43E-05,0.27,7698,26401916
34438,2178,29194,0.00082185,0.3,61655,19078654
1827,21271,30602,4.34E-06,0.01,168,6509595
63204,36278,1197,0.00078778,0.13,1806341,5648007
24080,22945,7051,1.65E-05,0.13,9122,21034257
105359,66589,9786,0.00013363,0.0005,937527,325853
98070,41854,10560,0.00082282,0.01,3377406,4420165
126496,26264,1697,0.00491597,0.3,16332440,13378443
11164,75084,27281,0.00108175,0.0005,906782,1024204
110364,39865,7162,0.00952101,0.005,41889837,1427709
118647,39207,2116,1.65E-05,0.2,76802,16598253
131504,30331,4908,0.00163948,0.07,6539435,10420844
18329,6232,43796,0.00082282,0.15,93997,40943756
29366,71495,3020,2.48E-05,0.13,52132,28074359
99246,27971,9432,0.00015297,0.0005,424663,131925
43240,74887,3441,0.00056263,0.2,1821868,51546700
73742,21146,9215,0.00034241,0.25,533959,48718201
114538,62541,1128,0.00019487,0.27,1395930,19048194
131388,2487,5363,0.00031941,0.25,104392,3335552
113097,69877,15800,0.00108175,0.03,8549007,33123745
148749,46807,14046,0.00019487,0.03,1356788,19723789
137955,77580,1806,0.00108175,0.2,11577643,28026293
25107,76433,966,0.00860544,0.005,16514251,369332
21338,19432,4799,4.64E-06,0.2,1924,18653162
8331,56088,2304,0.00015297,0.03,71484,3878164
27072,55771,9678,0.00019487,0.01,294223,5397994
40170,44260,14535,0.00018467,0.0005,328333,321661
15266,14307,9270,4.64E-06,0.27,1013,35812500
65363,24396,9798,0.00860544,0.07,13722501,16733419
82673,22716,11434,0.00018467,0.15,346818,38961352
143556,30437,8247,0.00019487,0.1,851492,25103545
100273,93832,13051,0.00018467,0.03,1737547,36738253
18551,85256,12257,0.00015297,0.001,241946,1045002
25763,20047,13361,0.00056263,0.001,290596,267865
67245,11530,23648,0.00082487,0.2,639570,54534675
113202,85712,3811,0.00108175,0.13,10496058,42466021
21524,2973,47185,0.00952101,0.27,609417,37884870
