lr,lc,rc,ld,rd,lnnz,rnnz
136223,29314,9739,1.65E-05,0.15,65929,42826446
135843,22066,339,4.64E-06,0.03,13908,224701
3471,64475,19944,2.48E-05,0.0005,5557,642960
120873,325,6323,4.34E-06,0.05,170,103037
137613,63865,500,0.00015297,0.27,1344412,8632991
128235,27404,2285,2.48E-05,0.17,87258,10648390
15805,47058,2471,8.43E-05,0.15,62692,17444039
71615,65776,1461,0.00082185,0.17,3871417,16344669
123987,18238,4328,4.64E-06,0.0005,10492,39470
122828,6385,9738,0.00082185,0.25,644632,15547151
94786,7208,11892,0.00108175,0.3,739094,25717060
48417,42653,2786,4.34E-06,0.17,8962,20206324
64647,28560,2173,0.00015297,0.25,282438,15521355
9801,15180,4932,0.00160539,0.13,238863,9734657
125958,16409,11798,2.48E-05,0.13,51320,25167793
6870,2998,18240,0.00491597,0.27,101280,14767597
16538,18705,22326,2.48E-05,0.001,7681,417636
114102,10003,1121,4.64E-06,0.25,5296,2805360
6312,72561,6398,0.00082487,0.005,377851,2321330
64433,13274,13612,0.00047003,0.3,402030,54210345
66286,60115,21187,0.00041097,0.01,1637649,12737287
18936,7432,22737,0.00108175,0.2,152252,33798344
9341,52633,34986,2.09E-05,0.005,10265,9207254
24804,47776,26284,0.00182521,0.0005,2163056,627891
40235,16219,1278,0.00047003,0.3,306736,6220899
51359,93245,144,8.43E-05,0.3,403669,4034713
34262,48721,6984,0.00182521,0.2,3046879,68058957
91500,63341,2880,0.00019487,0.25,1129431,45609561
141877,3473,8991,0.00047003,0.25,231625,7807284
104136,82397,5277,0.00082185,0.15,7051935,65230979
38827,73589,560,0.00860544,0.27,24588344,11137386
91929,30381,2109,0.00082487,0.17,2303812,10894292
15671,4297,21488,0.00296184,0.1,199497,9235418
9784,44256,33036,0.01084252,0.03,4695276,43861994
58711,11652,140,0.00078778,0.13,538947,213355
53032,52677,9873,0.00082487,0.13,2304366,67616832
36328,55521,29629,0.00034241,0.01,690642,16450907
134117,20417,3554,0.00013363,0.001,365921,72582
