lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,34588,76241
122335,65522,2027,0.00041097,0.25,3294205,33216643,1439,31856,33295,50312
85283,55401,5954,1.65E-05,0.13,78006,42884765,9518,22248,31766,5405
78717,99615,6291,0.00015297,0.05,1199504,31338809,8887,20561,29448,33460
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477
131403,43733,7722,8.43E-05,0.1,484397,33774444,7957,29621,37578,34386
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,263064,116536
87003,95285,15346,0.00182521,5.00E-04,15131430,731149,8915,518363,527278,7771
122724,61616,2796,0.00031941,0.3,2415325,51698106,2074,37265,39339,65907
74841,20268,16085,0.00047003,0.005,713008,1630128,2023,28133,30156,3420
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71816,71795
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,28805,4244
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410
80348,24008,14712,2.48E-05,0.13,47897,45919803,10382,29203,39585,7599
83116,9119,5696,0.00015297,0.2,115948,10389143,544,6610,7154,12743
29735,25167,22174,0.00082282,0.1,615772,55808823,13127,24557,37684,84354
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,18659,33173
66173,57686,8764,0.00952101,0.13,36344782,65725864,22041,494480,516521,375822
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268
43659,47194,33980,2.09E-05,0.03,43023,48110586,16138,45903,62041,4012
14569,13356,16170,0.02533638,0.23,4930456,49677774,1722,121426,123148,131364
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,12241,5640
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858
46756,53769,7584,0.00160539,0.01,4036030,4078138,3177,50471,53648,20217
98966,87945,14688,0.00370564,5.00E-04,32252780,645897,15404,1176893,1192297,20294
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,10513,13849
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,27382,17247
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,4102,12804
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,17312,30888
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,40901,97186
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,69185,123332
34422,86478,23247,0.00163948,5.00E-04,4880418,1005186,9759,179926,189685,3565
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663
70273,19995,29949,0.00056263,0.005,790577,2994283,3374,52735,56109,9217
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,229007,138693
8213,29864,12338,0.00860544,0.1,2110867,36848979,8753,31597,40350,26626
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,61678,70980
88999,13706,10833,0.01084252,5.00E-04,13226192,74244,253,312668,312921,3125
145855,29838,5432,0.00034241,0.27,1490188,43763326,1661,37058,38719,111561
43568,87023,12162,0.00370564,0.005,14049825,5292307,8049,265570,273619,52623
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,99187,3650
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,74157,124723
87906,15292,10524,0.00860544,0.15,11568360,24140834,1473,264982,266455,254112
32496,6653,19458,0.00031941,0.27,69056,34953644,1218,18635,19853,28851
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,6314,18148
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,25158,94023
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,87030,154166
94130,40069,19510,0.00018467,0.07,696528,54724088,13340,59630,72970,80462
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754
99321,47329,4093,0.00163948,0.17,7707002,32939353,1945,92154,94099,107355
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,63211,135220
18623,36187,9617,0.00370564,0.15,2497381,52205458,12587,31280,43867,41727
39684,35674,39856,0.02533638,5.00E-04,35870059,710931,12550,2049867,2062417,44884
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,34680,49699
104687,62677,694,0.00031941,0.15,2095829,6529094,141,3692,3833,9602
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,25211,63377
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,79149,89916
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,20133,33049
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,56936,89912
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,10375,4281
113741,52296,7952,4.64E-06,0.13,27600,54062954,12650,31803,44453,3114
