"lr","lc","rc","ld","rd","lnnz","rnnz"
112443,45525,14173,0.00491597,0.005,25165130,3226255
75894,90205,700,0.00370564,0.25,25369278,15805611
149334,521,10238,0.02533638,0.13,1971953,693674
95517,93950,13336,8.429e-05,0.05,756406,62647669
26756,24958,6408,0.00056263,0.13,375726,20792433
99785,32317,4018,0.00160539,0.15,5177094,19477990
96252,90212,3637,1.651e-05,0.001,143358,328173
43816,75337,1485,0.00491597,0.15,16227972,16788897
33657,1164,304,0.00491597,0.01,192644,3539
12319,65761,22667,0.00108175,0.005,876357,7453381
97736,10573,8065,0.00082282,0.07,850320,5969969
3989,1807,16203,0.00015297,0.2,1103,5857837
44422,52950,26469,0.00163948,0.001,3856376,1401589
22779,5532,39143,0.00031941,0.3,40256,64972974
1643,42118,42117,0.00078778,0.001,54529,1773917
95498,67274,3461,0.00160539,0.27,10314024,62876996
16420,83247,18182,0.00082282,0.001,1124759,1513673
34267,3665,26013,0.00018467,0.005,23193,476711
107706,32517,12624,8.429e-05,0.17,295215,69790688
12400,27626,18034,0.02533638,0.13,8679591,64771233
43799,4340,34200,0.00163948,0.13,311718,19300534
37779,35288,14825,0.00491597,0.07,6553868,36621544
7473,98366,1582,1.651e-05,0.17,12136,26470645
50419,42638,2255,0.00082185,0.03,1766800,2885270
31688,56998,12634,0.00370564,0.001,6693101,720135
122611,86642,4128,0.00034241,0.07,3637578,25038971
54240,54422,8645,0.00019487,0.1,575240,47053593
99455,40330,8686,0.00082487,0.03,3308618,10509866
126656,16249,1818,4.64e-06,0.27,9549,7979568
56342,91183,6887,0.00041097,0.005,2111368,3139982
53401,68094,1256,0.00018467,0.2,671520,17112308
56545,52921,23233,0.00370564,0.03,11088932,36885931
92064,42538,5664,0.00370564,0.2,14512206,48195664
80687,74066,2973,1.651e-05,0.25,98667,55057303
63332,23211,8420,0.00082487,0.01,1212589,1954460
147683,5882,13886,0.00491597,5e-04,4270633,40842
53868,69546,11363,0.00296184,0.05,11096088,39513073
85591,23236,15209,0.00160539,0.13,3192838,45944519
20340,7298,3821,0.00160539,0.27,238332,7530722
1615,13019,6125,0.00013363,0.17,2810,13556796
3413,81721,7318,0.00296184,0.05,826174,29903719
7686,24857,10296,0.00370564,0.27,708053,69109124
46431,20494,8962,0.00082487,0.2,784945,36738408
66735,10203,22020,0.00370564,0.1,2523237,22468193
59590,9652,15519,0.00034241,0.3,196943,44939282
74712,4386,568,0.02533638,0.13,8303331,324313
59742,55613,11057,0.00041097,5e-04,1365437,307476
61656,60780,6133,0.00491597,0.001,18422607,372795
59948,48870,7499,1.651e-05,0.15,48369,54974394
19290,77523,2130,0.01084252,0.27,16215073,44603613
52037,47214,4639,4.34e-06,0.01,10663,2190422
35684,6896,18806,0.00182521,5e-04,449198,64853
56703,26314,788,0.00160539,0.05,2395389,1037782
50022,6886,36332,0.00163948,0.03,564752,7505928
51629,13781,12964,4.64e-06,5e-04,3301,89335
65850,36345,5194,0.00056263,0.15,1346568,28318950
20332,62076,7649,4.34e-06,0.001,5477,474869
37321,85563,4298,0.00491597,0.17,15698582,62519236
37913,15932,5067,2.483e-05,0.27,14998,21801095
78775,2421,14379,0.00860544,0.001,1641734,34823
13419,49510,28768,0.00018467,0.005,122697,7121759
135773,59062,2120,0.00056263,0.23,4511813,28801503
117337,80419,6612,0.00491597,0.03,46388385,15952380
66363,38504,5130,0.00041097,0.2,1050133,39507684
31841,1351,21430,0.00160539,0.13,69089,3765512
117297,14651,16726,0.00019487,0.2,334904,49014172
80014,3133,13142,4.34e-06,0.005,1088,205911
110920,48605,3085,0.00952101,0.27,51330611,40497731
86518,5014,16533,4.34e-06,0.03,1882,2487057
98405,54291,12073,0.00952101,0.03,50866679,19665423
96969,85327,2293,0.00163948,0.05,13565269,9783126
39759,25997,3270,0.00182521,0.15,1886570,12753748
26101,42268,33811,0.00160539,0.01,1771207,14291726
142377,11359,3453,0.00163948,0.01,2651675,392301
29270,66086,1784,0.00160539,0.2,3105441,23591070
136180,40553,3381,1.651e-05,0.01,91177,1371491
