lr,lc,rc,ld,rd,lnnz,rnnz
12273,29944,40085,0.00082282,0.001,302405,1200316
54781,43058,36669,0.02533638,0.03,59764487,47367822
55146,70102,15399,0.00041097,0.005,1588762,5397815
73865,67547,1014,4.64e-06,0.0005,23151,34274
93373,18226,571,0.00296184,0.17,5040717,1772037
119361,922,14609,0.00047003,0.13,51759,1752223
86672,65745,3630,0.00082185,0.13,4683154,31029506
54179,35863,3494,0.00370564,0.01,7200201,1253323
3545,4325,31306,2.088e-05,0.03,320,4062298
30371,178,42591,0.00018467,0.05,998,379288
37699,22558,6564,0.00015297,0.15,130089,22214237
91928,40118,11047,0.00108175,0.15,3989559,66481577
69182,4739,26510,0.00078778,0.07,258282,8794504
71649,59632,20754,0.00082487,0.03,3524376,37129877
37541,3938,4127,0.00078778,0.17,116465,2763099
62618,10125,11031,0.00034241,0.15,217096,16754595
81325,73555,7803,0.00163948,0.0005,9807302,287008
36087,80432,6661,0.00015297,0.0005,444012,267904
35063,3437,20639,0.02533638,0.001,3053786,70948
9932,27554,8517,0.00013363,0.23,36571,53980464
1709,63015,32266,4.64e-06,0.01,499,20332510
87431,22283,14948,0.00041097,0.0005,800698,166557
141870,61672,8739,0.00108175,0.07,9464748,37726992
14631,41192,31640,0.00031941,0.005,192514,6516695
41988,8908,34326,0.00019487,0.07,72889,21405039
5131,20827,11000,0.00491597,0.27,525440,61862157
42018,11672,11852,4.34e-06,0.15,2128,20752111
37461,30748,3982,0.00370564,0.03,4268477,3673928
146451,8880,598,0.00082185,0.23,1068922,1222470
470,10308,29779,0.00041097,0.13,1991,39908052
115736,31823,13376,0.00163948,0.03,6038445,12770362
83690,4765,9768,0.00163948,0.2,653849,9310293
4716,33143,1544,0.00056263,0.2,87943,10238182
129733,28127,6001,0.00296184,0.25,10807998,42204536
62047,42705,9301,0.00860544,0.0005,22802624,198622
98554,40873,8352,0.00160539,0.13,6466863,44379233
116856,1114,3297,0.00860544,0.05,1120304,183707
10810,12963,19465,0.00082487,0.15,115604,37852608
99660,42504,14627,0.00860544,0.05,36453115,31087880
124760,32887,7747,2.483e-05,0.07,101877,17835270
120588,81752,4822,0.00182521,0.17,17993619,67027293
34719,8845,7186,2.088e-05,0.13,6412,8264114
14738,88318,6211,0.01084252,0.07,14113766,38402386
26165,2275,15564,0.00082185,0.05,48921,1770439
28282,4283,19952,0.01084252,0.03,1313448,2563816
36629,14412,15627,0.00082487,0.23,435472,51804078
87548,93618,370,0.00041097,0.01,3368387,346542
33908,36219,7727,0.00370564,0.25,4551060,69971789
8072,43194,2314,0.00860544,0.2,3000471,19993340
67456,8609,12337,0.00056263,0.01,326752,1062201
35257,67262,12981,0.00056263,0.005,1334256,4365818
103604,44800,8566,0.00034241,0.03,1589323,11513022
38827,12487,11402,0.00160539,0.2,778422,28479955
115090,58176,79,0.00082185,0.3,5502771,1387504
38949,57968,16025,0.00018467,0.01,416958,9289982
18951,22057,9607,0.00031941,0.1,133518,21192479
127466,9806,2038,0.00018467,0.25,230843,4998617
55849,6977,26256,0.00018467,0.3,71963,54961296
86182,11337,7704,2.088e-05,0.13,20401,11355975
8011,19754,4331,0.00082487,0.001,130538,85556
41612,8365,18467,2.088e-05,0.25,7268,38620106
64519,314,11619,0.00019487,0.3,3952,1095955
6512,22471,48748,0.00082185,0.01,120283,10954626
8761,38347,2870,0.00018467,0.15,62048,16510617
71183,78414,3334,8.429e-05,0.1,470492,26143956
53928,47226,12524,0.00182521,0.1,4648604,59147489
2998,6405,15377,0.00041097,0.23,7893,22653112
26301,55145,19711,0.01084252,0.01,15725848,10870064
144865,72829,5331,0.00370564,0.15,39096391,58240381
60470,57235,23311,0.00952101,0.03,32952864,40026912
29089,9896,16356,0.00860544,0.2,2477461,32376261
129663,34965,2705,0.00370564,0.2,16800290,18921670
17644,64739,24590,0.00082185,0.001,938789,1591979
67549,78818,1981,0.00082185,0.23,4375651,35917361
111750,34666,10236,0.01084252,0.05,42003567,17742194
2508,92883,2148,0.00047003,0.17,109503,33928211
142553,256,10218,2.088e-05,0.2,762,523551
11945,53335,1589,0.00952101,0.25,6066222,21192625
27626,57927,31966,4.34e-06,0.005,6945,9258695
40254,18917,6921,0.00860544,0.001,6553143,130940
34861,13215,24059,0.00082282,0.17,379071,54050733
41674,75027,6344,0.00160539,0.07,5019641,33320412
27165,39290,4867,0.00034241,0.23,365466,43987968
32304,7449,10629,0.00056263,0.01,135401,791855
15204,83621,16483,0.00491597,0.005,6250431,6891651
11557,99730,2783,0.00047003,0.23,541768,63839239
66102,5525,317,0.00108175,0.13,395091,228188
69417,30561,5350,0.00082282,0.15,1745641,24530192
18795,58474,3877,0.00296184,0.27,3255182,61224478
98230,16110,14781,0.00031941,0.1,505487,23813469
95152,5276,452,0.00108175,0.25,543093,597079
23534,1234,42913,0.00031941,0.25,9278,13242175
35522,61114,6499,0.00082487,0.07,1790714,27804029
25840,19820,24395,0.00056263,0.01,288171,4835410
104389,75142,3358,0.00078778,0.0005,6179398,126194
124141,58915,429,0.00019487,0.07,1425245,1770710
73496,15122,19132,2.483e-05,0.05,27597,14466907
48224,27047,9778,0.00041097,0.0005,536052,132248
15244,81843,24501,0.00082185,0.01,1025397,20053368
19247,46387,15870,2.088e-05,0.001,18642,736213
42322,23145,24000,4.34e-06,0.03,4251,16665054
14401,11482,21351,0.00013363,0.2,22098,49035937
15952,12869,18526,0.00047003,0.0005,96499,119216
40723,4086,49305,0.00015297,0.15,25457,30224514
53063,13260,18210,0.00015297,0.25,107639,60370447
22261,66341,1730,0.00082185,0.23,1213769,26412302
133873,59572,6552,0.00182521,0.13,14556281,50744862
25300,35392,2026,0.01084252,0.13,9708768,9323476
81653,89521,17709,8.429e-05,0.001,616142,1585365
63265,7075,3246,0.00015297,0.1,68471,2297179
65704,2008,2781,0.00041097,0.03,54239,167621
63065,7188,29259,2.483e-05,0.01,11255,2103218
44584,86734,8022,0.00019487,0.005,753572,3479074
104064,94945,63,0.00019487,0.15,1925395,900758
113601,25677,12513,0.00491597,0.17,14339978,54622315
139321,31186,8169,0.00108175,0.27,4700084,68784973
34551,96065,8504,0.00018467,0.0005,612959,408504
59565,51656,32059,0.00013363,0.005,411169,8280255
21619,95811,323,0.00041097,0.1,851269,3100659
28527,4872,21770,0.02533638,0.1,3521572,10607219
64303,61384,22145,0.00163948,0.001,6471473,1359397
106874,77407,9900,0.00018467,0.03,1527757,22991401
119791,53066,2016,0.00078778,0.2,5007840,21404087
86125,48162,22998,0.00031941,0.03,1324923,33230271
42353,78101,8863,0.00860544,0.001,28465567,692229
68979,17774,2879,0.00034241,0.2,419819,10237475
11678,2468,41555,8.429e-05,0.13,2429,13334577
8410,32970,45574,4.34e-06,0.005,1203,7513107
17015,11222,18166,0.00078778,0.27,150432,55046319
113553,93515,8689,1.651e-05,0.005,175320,4062789
89031,8511,17222,0.00041097,0.13,311444,19057325
116304,15595,8397,0.00034241,0.1,621058,13096203
67236,1628,30741,1.651e-05,0.25,1808,12518858
31829,35386,13767,0.00015297,0.05,172294,24358944
31971,21056,1615,0.00952101,0.03,6409671,1020757
13494,33000,8522,0.00082282,0.23,366416,64687795
143145,53716,5517,0.00019487,0.13,1498396,38531938
23975,3478,24853,0.00082487,0.03,68796,2593640
60857,14124,12875,0.00082487,0.17,709052,30917040
138731,69132,9734,4.34e-06,0.005,41624,3364953
26219,44609,570,0.00019487,0.13,227931,3310224
140617,19301,4638,0.00082487,0.3,2238777,26859367
2375,16183,11143,0.00082282,0.23,31630,41476814
26106,76118,17503,0.00108175,0.05,2149657,66618463
27435,9,3118,0.00296184,0.01,768,294
9791,33701,25161,0.00034241,0.01,112993,8479587
19456,10194,24151,0.00108175,0.001,214572,246223
105897,19514,7515,0.00015297,0.27,316126,39601833
127790,20649,9036,0.00013363,0.23,352620,42916657
36772,65666,3764,2.483e-05,0.25,59957,61802588
124439,26565,5082,2.483e-05,0.27,82083,36452124
101146,37121,1856,4.34e-06,0.2,16295,13782255
5281,41667,19210,0.00082185,0.001,180857,800425
89172,83118,5805,0.00018467,0.03,1368739,14476397
120276,24787,1762,8.429e-05,0.3,251297,13103227
80519,38155,6912,0.00047003,0.23,1444071,60664484
69066,48464,1651,0.00296184,0.1,9914091,8001711
37730,62801,5272,0.00082282,0.2,1949678,66227379
145409,22816,8973,2.483e-05,0.03,82380,6142597
121907,78709,2566,0.00034241,0.07,3285535,14140682
34801,11024,39270,0.00491597,0.001,1886060,432921
74520,6771,24598,0.00163948,0.25,827294,41642160
115371,49084,3018,8.429e-05,0.15,477331,22226295
18823,186,37107,0.00163948,0.25,5764,1732882
100110,19254,19320,2.483e-05,0.13,47862,48361660
56271,31564,16603,0.00034241,0.13,608182,68128773
68643,695,21395,0.00056263,0.2,26852,2975270
133293,33800,7069,2.483e-05,0.13,111866,31062723
54289,12412,5318,0.00491597,0.005,3312699,330055
8417,42132,761,4.34e-06,0.0005,1539,16046
28412,63506,9247,0.00491597,0.1,8870402,58726355
120336,54841,250,0.00015297,0.2,1009520,2750769
78745,6277,18570,4.34e-06,0.3,2145,34971696
19166,1394,36366,0.00034241,0.3,9154,15218647
68482,46607,22900,0.00047003,0.05,1500246,53367156
41317,87008,21561,0.00031941,0.001,1148272,1876052
13653,10885,43822,0.00015297,0.07,22736,33393110
31361,89489,935,0.00370564,0.3,10400061,25127449
10324,83639,16094,0.00041097,0.05,354895,67308032
7282,20006,3799,0.00370564,0.1,539879,7600658
25605,61654,3801,0.00015297,0.2,241491,46876332
93785,61250,12427,0.00160539,0.001,9221932,761205
50188,40484,18098,0.00082487,0.03,1676011,21980646
34041,5386,20225,0.00015297,0.05,28050,5447344
25480,60002,16860,8.429e-05,0.0005,128872,505821
79348,81153,2004,8.429e-05,0.27,542775,43928988
107280,6319,12666,0.00078778,0.27,534111,21613962
73670,33797,10578,0.01084252,0.13,26996462,46479612
102688,25154,3599,0.00034241,0.3,884484,27162492
67396,60954,2385,0.00013363,0.23,548966,33442298
101334,42695,9930,0.00082282,0.01,3559955,4239911
50212,19855,25230,2.088e-05,0.1,20817,50097517
60839,61789,8484,0.00056263,0.13,2115063,68155964
117151,51701,8640,0.00296184,0.0005,17939817,223372
83203,11695,18912,0.00952101,0.27,9265319,59722883
72924,13362,12431,1.651e-05,0.23,16087,38206972
96992,37241,15587,0.01084252,0.07,39164413,40635307
106315,3313,15385,0.00082487,0.2,290597,10196676
38871,7782,12887,0.00019487,0.13,58953,13039353
133671,1276,7689,0.00078778,0.15,134386,1472022
