lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
57166,65266,21849,0.00952101,0.001,35522954,1426006,3730996156,1425996834,1249019934,81500000000000.0,9.52e-06,11891.931279999999,776138787.0,50700000000000.0,5160000000.0,12181,1227013,1239194,48914,11069,4016406
105169,78939,2704,2.09e-05,0.23,173346,49111665,8301935691,213451056,284376976,22400000000000.0,4.8e-06,1365.69199,107806360.0,8510000000000.0,8520000000.0,1671,23063,24734,8876,10318,7369
66823,75696,25692,0.00163948,0.03,8293048,58345779,5058233808,1944781632,1716816516,130000000000000.0,4.92e-05,84440.59025,6391814920.0,484000000000000.0,7000000000.0,21442,387678,409120,258484,9004,1175183
83826,30839,11021,0.02533638,0.17,65497623,57781073,2585110014,339876619,923846346,28500000000000.0,0.004307185,3979176.7539999997,123000000000.0,3780000000000000.0,2920000000.0,2672,1372056,1374728,1055493,680,3917770
127540,34581,6895,0.00296184,0.1,13063152,23844034,4410460740,238435995,879388300,30400000000000.0,0.000296184,260460.7442,9006992997.0,311000000000000.0,4650000000.0,8514,295133,303647,197623,1212,626736
142193,76384,6370,1.65e-05,0.07,179321,34060442,10861270112,486566080,905769410,69200000000000.0,1.16e-06,1046.797707,79958596.06,6110000000000.0,11300000000.0,8441,26112,34553,14944,850,27202
100503,41730,17765,0.00082282,0.001,3450970,741384,4193990190,741333450,1785435795,74500000000000.0,8.23e-07,1469.092281,61305220.88,2560000000000.0,4940000000.0,4032,145298,149330,3884,3915,407447
91878,79011,1585,0.00047003,0.3,3412190,37577321,7259372658,125232435,145626630,11500000000000.0,0.000141009,20534.66547,1622464453.0,128000000000000.0,7380000000.0,1322,12034,13356,31053,663,35166
35773,24749,7821,0.00047003,0.17,416149,32907979,885345977,193561929,279780633,6920000000000.0,7.99e-05,22355.89946,553286155.7,13700000000000.0,1080000000.0,1955,16704,18659,33173,737,21563
74301,63567,7783,0.00056263,0.005,2657414,2473820,4723091667,494741961,578284683,36800000000000.0,2.81e-06,1626.8015560000001,103410894.5,6570000000000.0,5220000000.0,3171,40650,43821,9281,3270,128294
85711,12614,14683,0.00047003,0.25,508191,46305808,1081158554,185211362,1258494613,15900000000000.0,0.00011750799999999999,147882.5557,1865390558.0,23500000000000.0,1270000000.0,1965,38678,40643,126349,712,57442
112408,39653,3825,0.00013363,0.03,595644,4550693,4457314424,151672725,429960600,17000000000000.0,4.01e-06,1723.6690489999999,68348648.81,2710000000000.0,4610000000.0,1761,10558,12319,5447,1743,12566
115719,20583,6112,0.01084252,0.3,25826382,37745702,2381844177,125803296,707274528,14600000000000.0,0.003252756,2300591.465,47353074116.0,975000000000000.0,2510000000.0,1489,444757,446246,482829,268,1008617
56321,36599,7429,0.00082282,0.2,1696088,54381734,2061292279,271893971,418408709,15300000000000.0,0.00016456400000000002,68855.01079,2520024540.0,92200000000000.0,2330000000.0,2274,42588,44862,71123,614,72199
66341,87385,9302,1.65e-05,0.07,95713,56904020,5797208285,812855270,617103982,53900000000000.0,1.16e-06,713.187072,62321852.29,5450000000000.0,6610000000.0,14085,33930,48015,6221,13112,40835
7297,11850,43501,0.00160539,0.03,138831,15465088,86469450,515486850,317426797,3760000000000.0,4.8200000000000006e-05,15287.81417,181160597.9,2150000000000.0,602000000.0,5091,15784,20875,17138,5266,23733
110126,57098,2512,0.00952101,0.23,59868882,32993807,6287974348,143430176,276636512,15800000000000.0,0.002189832,605787.5693,34589258634.0,1980000000000000.0,6430000000.0,1363,397091,398454,322569,463,931350
51481,96219,1803,0.00082487,0.07,4086061,12147185,4953450339,173482857,92820243,8930000000000.0,5.7700000000000007e-05,5359.524369,515688075.3,49600000000000.0,5130000000.0,1592,12730,14322,13930,4313,42970
66726,22607,1330,0.00163948,0.13,2473191,3910963,1508474682,30067310,88745580,2010000000000.0,0.00021313200000000002,18914.55845,427601423.0,9670000000000.0,1540000000.0,135,7157,7292,13739,169,18964
17742,94537,13252,0.00082487,0.05,1383598,62644673,1677275454,1252804324,235116984,22200000000000.0,4.1200000000000005e-05,9697.04733,916729763.4,86700000000000.0,2930000000.0,16931,55433,72364,32006,16706,135480
53503,57268,1850,0.00860544,0.3,26367431,31798087,3064009804,105945800,98980550,5670000000000.0,0.002581632,255531.3553,14633769653.0,838000000000000.0,3170000000.0,1048,72508,73556,107265,559,250221
