lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,34588,76241,1549,73181
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022,131,6577
85283,55401,5954,1.65e-05,0.13,78006,42884765,9518,22248,31766,5405,9454,10935
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,12644,18996,48,22902
17639,14561,16707,0.00160539,0.13,412379,31628398,7600,23214,30814,36391,847,40532
74841,20268,16085,0.00047003,0.005,713008,1630128,2023,28133,30156,3420,1925,78066
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507,1085,134550
32231,80720,577,0.00160539,0.3,4176859,13985604,184,3975,4159,6960,194,13110
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410,252,26727
80348,24008,14712,2.48e-05,0.13,47897,45919803,10382,29203,39585,7599,10193,35508
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628,203,669562
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047,560,14326
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,15790,20215,347,66162
7297,11850,43501,0.00160539,0.03,138831,15465088,5091,15784,20875,17138,5266,23733
43659,47194,33980,2.09e-05,0.03,43023,48110586,16138,45903,62041,4012,14776,58407
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,36710,6438,2199,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,12241,5640,2203,20928
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858,1563,1484124
33895,53317,26714,0.00370564,0.01,6696942,14243336,9908,280837,290745,92404,7007,940945
98966,87945,14688,0.00370564,0.0005,32252780,645897,15404,1176893,1192297,20294,10230,2889740
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,146549,150395,5345,335026
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641,324,373265
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,4102,12804,137,6871
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,69185,123332,2585,182304
78312,23565,7906,0.00015297,0.3,282301,55892512,2063,27884,29947,49600,724,20260
34422,86478,23247,0.00163948,0.0005,4880418,1005186,9759,179926,189685,3565,10006,620209
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059,7520,2508700
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023,506,23679
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741,5422,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,12332,5723,18055,3722,1703,8607
6600,8834,39569,0.00015297,0.13,8920,45445522,9943,3843,13786,3418,1782,24097
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,229007,138693,13384,531111
8213,29864,12338,0.00860544,0.1,2110867,36848979,8753,31597,40350,26626,8717,137046
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493,4139,1155489
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,61678,70980,2378,151100
88999,13706,10833,0.01084252,0.0005,13226192,74244,253,312668,312921,3125,235,822523
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25,13463
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,528567,154983,1679,1035063
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501,162,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,99187,3650,3679,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,1478,10540,12018,10112,783,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,23722,63658,200,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,74157,124723,181,152258
105169,78939,2704,2.09e-05,0.23,173346,49111665,1671,23063,24734,8876,10318,7369
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,6314,18148,932,17815
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,25158,94023,162,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666,570,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,175,42089,42264,49837,297,137065
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754,14619,4720649
22290,3628,41455,0.00056263,0.27,45499,40608411,1561,23056,24617,44552,534,19101
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,63211,135220,1092,152603
39684,35674,39856,0.02533638,0.0005,35870059,710931,12550,2049867,2062417,44884,10804,7503112
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,25211,63377,289,45176
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,79149,89916,2912,250530
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,4799,14781,33,12013
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679,2684,169514
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,758857,490478,423,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,10375,4281,5036,13501
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783,1460959
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,1451966,354393,5666,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,2564,46393,48957,17650,2245,144060
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319,38176
134395,43005,4828,2.09e-05,0.25,120680,51907729,1736,25594,27330,23945,430,20076
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,13356,31053,663,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135,53723
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260,321,24623
134593,43061,8367,0.00108175,0.13,6269567,46841184,12142,188265,200407,205587,1827,378241
83322,26300,2170,0.00491597,0.25,10773141,14271019,582,48066,48648,69791,439,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38578,38387,1316,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,11112,4762,1310,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502,1595,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104,360,43850
45114,10492,24379,0.00491597,0.01,2327126,2558055,2032,80791,82823,33352,1155,301658
137034,91065,2431,2.09e-05,0.27,260563,59785667,1865,29664,31529,13050,1164,21612
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,526737,303187,5499,1050434
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,32324,36210,1451,40757
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,45162,80420,1630,25462
124839,80742,12194,4.64e-06,0.05,46770,49230041,13468,38662,52130,3095,12209,49356
46389,21677,12584,0.00082185,0.17,826472,46376622,1925,34539,36464,74011,709,62307
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,47181,88137,1440,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223,234,472963
105828,74577,396,0.00056263,0.2,4440503,5911526,107,4464,4571,7926,109,12497
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234,2777,2927142
3325,56230,3560,0.00296184,0.23,553791,46047145,2134,4745,6879,4584,1033,12925
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,843860,351382,4737,1647627
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,271273,262452,2054,895875
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950,311,193783
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,33279,26522,5204,114418
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291,58298
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863,223,38015
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013,449,13536
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,49801,92847,1264,96421
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586,1186,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247,8064,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500,390,13397
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178,124761
94340,10152,16472,0.02533638,0.1,24266025,16722661,1585,839718,841303,489409,332,962510
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681,3576,53022
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306,12887
9247,4600,6508,0.01084252,0.15,461280,4491926,103,3773,3876,7696,83,16290
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,22741,84222,96,47609
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,163658,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
96518,11880,20321,0.00047003,0.01,538974,2414244,1725,35467,37192,8353,1605,89347
