lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,34588,76241,1549,73181
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022,131,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,1439,31856,33295,50312,437,47826
39049,43377,14025,0.00031941,0.03,541033,18252082,5988,25706,31694,20547,5656,56943
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477,4597,346210
132278,48224,8077,0.00047003,0.15,2998367,58429137,2873,91196,94069,174315,1986,179515
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564,1890,94968
62177,74537,22036,0.00082487,0.001,3822919,1642560,8192,142660,150852,7235,8338,477252
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507,1085,134550
91522,11923,20111,0.01084252,0.0005,11831944,119900,3039,537932,540971,7852,310,1375666
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047,560,14326
66341,87385,9302,1.65e-05,0.07,95713,56904020,14085,33930,48015,6221,13112,40835
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,15230,5466,2904,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268,403,9750
43659,47194,33980,2.09e-05,0.03,43023,48110586,16138,45903,62041,4012,14776,58407
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858,1563,1484124
124226,83003,2310,0.00370564,0.23,38209922,44118447,2102,312134,314236,224158,442,627928
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,10513,13849,501,26545
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,146549,150395,5345,335026
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,17312,30888,930,29729
95437,99103,2109,0.00296184,0.25,28013575,52252550,1746,156278,158024,155610,1094,349853
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,40901,97186,368,96990
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,69185,123332,2585,182304
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023,506,23679
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,39619,111812,323,75733
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663,498,478550
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741,5422,26041
139925,7761,5943,0.00182521,0.2,1982194,9226373,229,32392,32621,98226,105,85717
88999,13706,10833,0.01084252,0.0005,13226192,74244,253,312668,312921,3125,235,822523
145855,29838,5432,0.00034241,0.27,1490188,43763326,1661,37058,38719,111561,605,65790
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25,13463
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,528567,154983,1679,1035063
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501,162,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,99187,3650,3679,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,1478,10540,12018,10112,783,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,23722,63658,200,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,74157,124723,181,152258
105169,78939,2704,2.09e-05,0.23,173346,49111665,1671,23063,24734,8876,10318,7369
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,25158,94023,162,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666,570,1588258
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,87030,154166,1126,310728
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754,14619,4720649
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,63211,135220,1092,152603
108176,10277,16847,0.02533638,0.01,28169438,1731551,330,1046768,1047098,195786,241,1219710
45554,44248,4608,0.00370564,0.23,7469617,46903538,1439,74242,75681,80066,1068,195790
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,34680,49699,372,78718
48661,61929,2487,0.00047003,0.1,1416474,15405282,1447,6383,7830,18750,636,22355
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,4799,14781,33,12013
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,88785,106456,2918,241329
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,13356,31053,663,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135,53723
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260,321,24623
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899,250,18511
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,32324,36210,1451,40757
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,45162,80420,1630,25462
46389,21677,12584,0.00082185,0.17,826472,46376622,1925,34539,36464,74011,709,62307
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399,437,157782
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,47181,88137,1440,77433
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,108173,121873,1095,284582
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234,2777,2927142
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220,1442,54496
81106,27977,18993,0.00013363,0.13,303222,69078256,15284,49948,65232,76537,1707,79298
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,271273,262452,2054,895875
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291,58298
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863,223,38015
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013,449,13536
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178,124761
57417,4990,26049,0.00952101,0.27,2728256,35101184,1314,114566,115880,269536,288,386953
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681,3576,53022
52172,6086,36193,0.00056263,0.13,178653,28636974,6732,28872,35604,67004,1121,58368
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306,12887
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
131345,20463,9563,0.00182521,0.27,4905692,52839445,2313,165338,167651,265773,784,344783
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808,537,13699
4962,7533,42916,0.00860544,0.2,321745,64663565,2424,49235,51659,49579,665,76678
11245,56010,8073,0.00019487,0.13,122741,58786002,13536,7276,20812,7970,13034,12019
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,498994,185512,658,1137366
52836,68274,4864,0.00952101,0.001,34345805,332133,7714,263691,271405,9288,7853,877427
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,22801,37877,1048,71788
77620,23824,7966,0.00018467,0.03,341503,5693951,2249,12598,14847,7924,305,25997
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839,1320,4686
23575,8948,27730,0.00370564,0.27,781716,66996953,2168,60451,62619,107823,523,120840
140966,54271,5749,2.09e-05,0.13,159741,40567960,9334,23356,32690,20061,608,25551
130389,74520,2007,1.65e-05,0.2,160423,29926512,1439,12886,14325,5409,772,11857
15559,17880,12488,0.00015297,0.17,42558,37963300,8604,4286,12890,6444,1162,18020
123371,30844,8668,0.00160539,0.13,6109075,34757461,9252,173106,182358,198590,1356,377116
27298,79766,4489,0.00163948,0.01,3569962,3581339,3058,25667,28725,11252,2797,89637
106799,17837,15074,0.00952101,0.2,18137811,53778313,2055,720904,722959,555376,1383,1730856
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,60825,24041,9962,200444
49865,41784,1999,0.00082282,0.27,1714412,22559740,369,5841,6210,16648,449,24767
77232,67089,4255,0.00860544,0.13,44588813,37115150,1804,341898,343702,233931,1462,1014439
59470,41601,16892,0.00041097,0.01,1016753,7027616,4463,38478,42941,14283,4567,111859
73733,72452,704,0.00047003,0.3,2511000,15312633,536,3234,3770,9113,158,11516
33185,86416,16935,0.00952101,0.001,27304208,1463532,10852,680854,691706,24813,10188,2369563
69175,16274,14814,0.00047003,0.05,529169,12055484,3568,22310,25878,29210,1188,59227
109228,25348,5275,0.00163948,0.13,4539417,17384897,1224,71297,72521,93938,435,160415
139897,49460,2960,0.00182521,0.05,12629356,7321594,1291,142512,143803,70782,466,275669
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,1976725,455431,7278,6344489
59148,13274,9381,0.01084252,0.005,8513016,622645,184,132249,132433,26554,345,424570
112858,36186,11984,0.00031941,0.13,1304471,56380562,12867,60434,73301,154425,2229,121227
4326,40343,6596,0.00370564,0.13,646812,34596220,1809,7769,9578,6827,1356,25705
33442,7980,13858,0.00041097,0.23,109680,25436471,1098,14760,15858,25018,362,7927
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589,2177,1404512
84252,55455,8994,0.00013363,0.07,624351,34917097,8517,30762,39279,36571,1905,61989
50720,6003,36444,0.00108175,0.17,329375,37192673,1617,43212,44829,134107,1147,85870
