lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
108176,10277,16847,0.02533638,0.01,28169438,1731551,1111724752,173136619,1822441072,18700000000000.0,0.000253364,461740.5953,4745308098.0,48800000000000.0,1280000000.0,330,1046768,1047098,195786,241,1219710
109992,20548,3259,0.00108175,0.05,2444972,3349236,2260115616,66965932,358463928,7370000000000.0,5.41e-05,19388.417709999998,398393207.0,8190000000000.0,2330000000.0,606,21074,21680,25015,874,55835
22084,19077,47798,0.00163948,0.005,690756,4559461,421296468,911842446,1055571032,20100000000000.0,8.2e-06,8652.937978,165072097.8,3150000000000.0,1330000000.0,5027,53955,58982,11610,4671,192023
97366,33288,5958,0.00056263,0.13,1823595,25785518,3241119408,198329904,580106628,19300000000000.0,7.31e-05,42430.10097,1412413201.0,47000000000000.0,3440000000.0,1965,32623,34588,76241,1549,73181
60740,33953,7347,0.00015297,0.27,315475,67355810,2062305220,249452691,446256780,15200000000000.0,4.13e-05,18431.2529,625796329.8,21200000000000.0,2310000000.0,2008,33219,35227,34511,1319,38176
104630,9380,10427,0.02533638,0.15,24867579,14672396,981429400,97805260,1090977010,10200000000000.0,0.003800457,4146211.2139999997,38891461192.0,365000000000000.0,1080000000.0,331,565623,565954,341557,262,627103
145855,29838,5432,0.00034241,0.27,1490188,43763326,4352021490,162080016,792284360,23600000000000.0,9.25e-05,73247.24368,2185551257.0,65200000000000.0,4510000000.0,1661,37058,38719,111561,605,65790
78555,9952,2893,0.00047003,0.23,367495,6622585,781779360,28791136,227259615,2260000000000.0,0.00010810700000000001,24568.332469999998,244504044.8,2430000000000.0,811000000.0,328,4552,4880,15269,331,9760
147751,75258,10129,0.00031941,0.005,3551712,3811632,11119444758,762288282,1496569879,113000000000000.0,1.6e-06,2390.096925,179873914.4,13500000000000.0,11900000000.0,4541,128220,132761,14374,4704,294244
47748,2131,15014,0.00160539,0.23,163390,7360783,101750988,31994834,716888472,1530000000000.0,0.00036924,264703.6843,564083551.3,1200000000000.0,134000000.0,121,9706,9827,35097,80,20323
40058,38153,33365,0.00108175,0.005,1653316,6365225,1528332874,1272974845,1336535170,51000000000000.0,5.41e-06,7228.984601,275807449.5,10500000000000.0,2800000000.0,6987,88492,95479,19656,6999,315380
92588,76143,8287,0.00370564,0.01,26124739,6310421,7049928084,630997041,767276756,58400000000000.0,3.71e-05,28432.51438,2164936943.0,165000000000000.0,7680000000.0,8749,512561,521310,103475,2851,1310437
96832,17872,6773,0.00082487,0.15,1427529,18159347,1730581504,121047056,655843136,11700000000000.0,0.000123731,81147.79914,1450273466.0,25900000000000.0,1850000000.0,1127,27585,28712,84182,248,66658
91878,79011,1585,0.00047003,0.3,3412190,37577321,7259372658,125232435,145626630,11500000000000.0,0.000141009,20534.66547,1622464453.0,128000000000000.0,7380000000.0,1322,12034,13356,31053,663,35166
138502,70304,8703,0.00163948,0.03,15964237,18356833,9737244608,611855712,1205382906,84700000000000.0,4.92e-05,59286.035,4168045405.0,293000000000000.0,10300000000.0,9033,515629,524662,178173,2905,1024345
49255,32636,13889,0.00491597,0.03,7902553,13599335,1607486180,453281404,684102695,22300000000000.0,0.000147479,100890.8498,3292673773.0,107000000000000.0,2060000000.0,6269,178259,184528,93289,2125,577927
19873,25286,15199,0.00082487,0.01,414516,3843351,502508678,384321914,302049727,7640000000000.0,8.25e-06,2491.517583,63000513.61,1590000000000.0,887000000.0,2474,15450,17924,4286,2500,42413
34601,31225,3279,0.00860544,0.25,9297808,25597661,1080416225,102386775,113456679,3540000000000.0,0.00215136,244086.1609,7621590375.0,238000000000000.0,1180000000.0,987,45269,46256,55857,528,156713
51481,96219,1803,0.00082487,0.07,4086061,12147185,4953450339,173482857,92820243,8930000000000.0,5.7700000000000007e-05,5359.524369,515688075.3,49600000000000.0,5130000000.0,1592,12730,14322,13930,4313,42970
140006,72416,7045,0.00296184,0.1,30029388,51019636,10138674496,510170720,986342270,71400000000000.0,0.000296184,292138.7989,21155523261.0,1530000000000000.0,10600000000.0,18297,779620,797917,327001,2591,1537516
52392,2000,17644,0.02533638,0.2,2655227,7058675,104784000,35288000,924404448,1850000000000.0,0.005067276,4684212.473999999,9368424947.0,18700000000000.0,140000000.0,179,65572,65751,137324,85,248432
62262,12569,11875,0.00108175,0.005,846595,746346,782571078,149256875,739361250,9290000000000.0,5.41e-06,3999.020161,50263684.4,632000000000.0,932000000.0,1205,20556,21761,3183,1126,63086
108780,87037,3489,0.00078778,0.005,7458617,1518731,9467884860,303672093,379533420,33000000000000.0,3.94e-06,1494.9441880000002,130115457.3,11300000000000.0,9770000000.0,2891,77276,80167,13113,2935,183227
69353,12397,7520,0.00018467,0.13,158785,12120625,859769141,93225440,521534560,6470000000000.0,2.4e-05,12520.53234,155217039.4,1920000000000.0,953000000.0,372,8986,9358,13791,393,10530
146067,6562,7358,2.48e-05,0.25,23801,12072634,958491654,48283196,1074760986,7050000000000.0,6.21e-06,6671.578821,43778900.22,287000000000.0,1010000000.0,182,10154,10336,3023,267,11790
142799,91268,3641,0.00019487,0.2,2539749,66471738,13032979132,332306788,519931159,47500000000000.0,3.8974e-05,20263.79699,1849436224.0,169000000000000.0,13400000000.0,2590,54365,56955,86090,700,72686
123371,30844,8668,0.00160539,0.13,6109075,34757461,3805255124,267355792,1069379828,33000000000000.0,0.000208701,223180.3187,6883773749.0,212000000000000.0,4070000000.0,9252,173106,182358,198590,1356,377116
88725,62419,9675,0.00952101,0.05,52729591,30197769,5538125775,603903825,858414375,53600000000000.0,0.00047605099999999996,408648.5924,25507436491.0,1590000000000000.0,6140000000.0,3579,1133087,1136666,334234,2777,2927142
39955,23735,3557,0.00296184,0.27,2808903,22801970,948331925,84425395,142119935,3370000000000.0,0.0007996969999999999,113652.8572,2697550566.0,64000000000000.0,1030000000.0,887,14226,15113,31345,1022,54641
106923,44899,8525,0.01084252,0.15,52052697,57416751,4800735777,382763975,911518575,40900000000000.0,0.001626378,1482473.757,66561589214.0,2990000000000000.0,5180000000.0,2638,1184739,1187377,712082,734,2760805
120986,60571,3701,0.00015297,0.23,1121006,51573176,7328243006,224173271,447769186,27100000000000.0,3.52e-05,15753.90805,954229964.4,57800000000000.0,7550000000.0,1908,32465,34373,56019,472,34830
145430,80648,3878,0.00031941,0.13,3746282,40663288,11728638640,312752944,563977540,45500000000000.0,4.15e-05,23418.208590000002,1888631686.0,152000000000000.0,12000000000.0,9772,65298,75070,103733,1575,111461
86839,13389,21867,0.01084252,0.03,12607482,8784267,1162687371,292777263,1898908413,25400000000000.0,0.000325276,617668.5734,8269964529.0,111000000000000.0,1460000000.0,5408,588059,593467,253348,1379,1588297
131999,47960,2813,0.00491597,0.13,31122087,17541515,6330672040,134911480,371313187,17800000000000.0,0.000639076,237297.3834,11380782509.0,546000000000000.0,6470000000.0,1307,297009,298316,156862,438,601440
2914,11502,8793,0.00952101,0.07,319125,7080480,33516828,101137086,25622802,295000000000.0,0.0006664710000000001,17076.84678,196417891.7,2260000000000.0,135000000.0,337,4703,5040,3388,2212,16147
82627,55397,7160,0.00491597,0.05,22502235,19832457,4577287919,396642520,591609320,32800000000000.0,0.000245799,145416.6834,8055648013.0,446000000000000.0,4970000000.0,9522,317837,327359,133713,1905,887223
84648,73824,13503,0.00370564,0.001,23157073,996878,6249053952,996845472,1143001944,84400000000000.0,3.71e-06,4235.553724,312685518.1,23100000000000.0,7250000000.0,8110,633444,641554,23818,7798,1783888
32906,3914,31697,8.43e-05,0.2,10858,24816783,128794084,124062058,1043021482,4080000000000.0,1.6858e-05,17583.25614,68820864.55,269000000000.0,253000000.0,1204,16498,17702,5068,316,17386
31675,6269,42255,0.01084252,0.17,2153149,45035833,198570575,264896595,1338427125,8390000000000.0,0.001843228,2467026.8880000003,15465791562.0,97000000000000.0,463000000.0,1920,134080,136000,235241,1389,485021
42429,42459,21720,0.00163948,0.005,2953623,4611198,1801492911,922209480,921557880,39100000000000.0,8.2e-06,7554.378565999999,320751359.5,13600000000000.0,2720000000.0,5602,100520,106122,25055,4768,359834
8481,44708,6048,0.00078778,0.23,298728,62197325,379168548,270393984,51293088,2290000000000.0,0.000181189,9293.763839,415505593.7,18600000000000.0,650000000.0,2114,5911,8025,8077,1404,13311
109458,88928,14145,2.48e-05,0.01,241692,12579474,9733881024,1257886560,1548283410,138000000000000.0,2.48e-07,384.4387707,34187371.0,3040000000000.0,11000000000.0,7616,39850,47466,3036,7988,57506
32231,80720,577,0.00160539,0.3,4176859,13985604,2601686320,46575440,18597287,1500000000000.0,0.000481617,8956.769573,722990439.9,58400000000000.0,2650000000.0,184,3975,4159,6960,194,13110
